,n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
0,18386,The Death of Ivan Ilych,Leo Tolstoy,4.07,"75,056 ratings","4,096   reviews","Hailed as one of the world's supreme masterpieces on the subject of death and dying, The Death of Ivan Ilyich is the story of a worldly careerist, a high court judge who has never given the inevitability of his dying so much as a passing thought. But one day, death announces itself to him, and to his shocked surprise, he is brought face to face with his own mortality. How, Tolstoy asks, does an unreflective man confront his one and only moment of truth?This short novel was an artistic culmination of a profound spiritual crisis in Tolstoy's life, a nine-year period following the publication of Anna Karenina during which he wrote not a word of fiction.A thoroughly absorbing, and, at times, terrifying glimpse into the abyss of death, it is also a strong testament to the possibility of finding spiritual salvation.",1600964338,9781600964336,Paperback,,86 pages,Published       August 3rd 2006        by Waking Lion Press                       (first published 1886),"['Classics', 'Fiction', 'Cultural', 'Russia', 'Literature', 'Russian Literature', 'Literature']"
1,6080337,The Year of the Flood,Margaret Atwood,4.07,"94,003 ratings","7,205   reviews","The times and species have been changing at a rapid rate, and the social compact is wearing as thin as environmental stability. Adam One, the kindly leader of the God's Gardeners--a religion devoted to the melding of science and religion, as well as the preservation of all plant and animal life--has long predicted a natural disaster that will alter Earth as we know it. Now it has occurred, obliterating most human life. Two women have survived: Ren, a young trapeze dancer locked inside the high-end sex club Scales and Tails, and Toby, a God's Gardener barricaded inside a luxurious spa where many of the treatments are edible. Have others survived? Ren's bioartist friend Amanda? Zeb, her eco-fighter stepfather? Her onetime lover, Jimmy? Or the murderous Painballers, survivors of the mutual-elimination Painball prison? Not to mention the shadowy, corrupt policing force of the ruling powers...Meanwhile, gene-spliced life forms are proliferating: the lion/lamb blends, the Mo'hair sheep with human hair, the pigs with human brain tissue. As Adam One and his intrepid hemp-clad band make their way through this strange new world, Ren and Toby will have to decide on their next move. They can't stay locked away...By turns dark, tender, violent, thoughtful, and uneasily hilarious, ""The Year of the Flood"" is Atwood at her most brilliant and inventive.",0385528779,9780385528771,Hardcover,First United States Edition,431 pages,Published       September 22nd 2009        by Doubleday Nan A. Talese,"['Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Apocalyptic', 'Post Apocalyptic']"
2,27371034,"Annabel Horton, Lost Witch of Salem",Olivia Hardy Ray,4.32,271 ratings,19   reviews,"From the Salem Witch trials through the Nineteenth Century and beyond, Annabel Horton is pursued by the devil’s disciple, Urban Grandier, the demonic priest from the incident at Loudon. She must take the bodies of those that the devil favors to protect her family. She must uncover the motive behind the illusive Ursula/Louis Bossidan, the scandalous cross-dresser who is pursuing her beautiful granddaughter, and she must learn, being one of God’s most powerful witches, how to use her power. But will it be enough to save her husband from Urbain’s fiery inferno? Will it be enough to save her children from demons greater than themselves? Read on, you will learn more…",English,English,Kindle Edition,,374 pages,Published       March 11th 2015        by Chatter Creek Publishing                       (first published December 22nd 11),[]
3,7897851,Bloodlines,Lindsay Anne Kendal,3.70,927 ratings,83   reviews,"Keira Jameson used to lead a normal life, she just had a gift, passed down through the generations of her family. Now, after hearing voices, having strange dreams of others calling out to her, and her grandfather's last words haunting her, she sets out to find other families like hers. Along with her best friend Lily, the only person outside her family to know about her gift, Keira begins a hunt for her ancestors. A chance meeting with a young man, Lucian Turner, sets them on the right track, but their discoveries change the way Keira will see herself for ever more. Fear, superstition and heritage are shaping Keira's future and she must face her enemies, even if this could mean losing her life. She cannot escape her destiny.Part Buffy-style horror, part tender romance, Bloodlines will have fans of the genre on tenterhooks waiting for the next instalment of this gripping and hell-raising tale.",1793378673,9781793378675,Paperback,1st Edition,320 pages,Published       April 29th 2010        by Book Guild Limited,"['Young Adult', 'Fantasy', 'Paranormal', 'Paranormal', 'Vampires', 'Fantasy', 'Horror']"
4,40121205,Broken Promises (Past Imperfect Mystery Book 1),Anne  Willow,4.29,"1,069 ratings",25   reviews,"Julia needed a new start. The unexpected death of her favorite aunt sends Julia to the artist town of Grand Marais. There she starts to weave tattered threads into a new tapestry while rediscovering her love of sketching and running the antique shop, Past Imperfect. Everything is just starting to go right when a mysterious package arrives bearing an antique letter opener arrives. Julia's natural curiosity is piqued but before she can untangle the mystery it's found embedded in Tom Peterson's chest. The tapestry of her new life begins to unravel as she is named a prime suspect. Now, left with few clues and a past not willing to let her go, Julia works to solve the mystery and the murder. Infidelity through time and a curse that only she can break - once she figures out how.  ",English,English,Kindle Edition,,229 pages,Published       May 13th 2018        by Between the Lines Publishing,"['Young Adult', 'Fiction', 'New Adult', 'Adult', 'Contemporary']"
5,15784909,This Girl,Colleen Hoover,4.15,"67,845 ratings","6,086   reviews","Librarian's Note: The ISBN 9789383260195 for this book was also used by ""Shekhar Kapur's Devi - Vol. 1"" by Samit Basu.There are two sides to every love story. Now hear Will’s.Colleen Hoover’s New York Times bestselling Slammed series has brought countless readers to their knees with a whirlwind of love, passion, and heartache. Layken and Will’s love has managed to withstand the toughest of circumstances and the young lovers, now married, are beginning to feel safe and secure in their union. As much as Layken relishes their new life together, she finds herself wanting to know everything there is to know about her husband, even though Will makes it clear he prefers to keep the painful memories of the past where they belong. Still, he can’t resist his wife’s pleas and so he begins to untangle his side of the story, revealing for the first time his most intimate feelings and thoughts, retelling both the good and bad moments, and sharing a few shocking confessions of his own from the time when they first met.In This Girl, Will tells the story of their complicated relationship from his point of view. Their future rests on how well they deal with the past in this final installment of the beloved Slammed series.",B00BOVFLD0,B00BOVFLD0,Kindle Edition,,304 pages,Published       April 30th 2013        by Atria Books,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Romance', 'Contemporary Romance']"
6,6837103,The Kitchen House,Kathleen Grissom,4.19,"215,020 ratings","17,677   reviews","When a white servant girl violates the order of plantation society, she unleashes a tragedy that exposes the worst and best in the people she has come to call her family. Orphaned while onboard ship from Ireland, seven-year-old Lavinia arrives on the steps of a tobacco plantation where she is to live and work with the slaves of the kitchen house. Under the care of Belle, the master's illegitimate daughter, Lavinia becomes deeply bonded to her adopted family, though she is set apart from them by her white skin. Eventually, Lavinia is accepted into the world of the big house, where the master is absent and the mistress battles opium addiction. Lavinia finds herself perilously straddling two very different worlds. When she is forced to make a choice, loyalties are brought into question, dangerous truths are laid bare, and lives are put at risk.",1439153663,9781439153666,Paperback,,369 pages,Published       February 2nd 2010        by Atria Books,"['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Book Club']"
7,43700638,Scars and Voices: And Other Stories,Adam Carpenter Welles,4.46,180 ratings,3   reviews,"Adam Carpenter Welles has come THIS CLOSE to having his works published in books and magazines. In this collection of his stories (each of which has a story behind it), you'll read about two retired spiritual leaders who experience a miracle in their nursing home, a gay relationship that must end between an American man and a Thai student, the astonishing adventures of an early mid-life failure, the thrilling chase one gay man undertakes for another intriguing, confusing, mysterious man, and a mind-blowing time-travel misadventure involving a man and a dog, as well as a few other surprises. This genre bending collection will captivate you. You might even enjoy the stories. Adam Carpenter Welles works in media in a major city in the Southeastern United States.",//<![CDATA[,Combine,Kindle Edition,,102 pages,Published       January 23rd 2019,"['Book Club', 'Fiction', 'Novels', 'Drama', 'Contemporary']"
8,9912,The Rules of Attraction,Bret Easton Ellis,3.68,"37,967 ratings","1,256   reviews","Set at a small affluent liberal-arts college in New England eighties, The Rules of Attraction is a startlingly funny, kaleidoscopic novel about three students with no plans for the future—or even the present—who become entangled in a curious romantic triangle. Bret Easton Ellis trains his incisive gaze on the kids at self-consciously bohemian Camden College and treats their sexual posturings and agonies with a mixture of acrid hilarity and compassion while exposing the moral vacuum at the center of their lives. The Rules of Attraction is a poignant, hilarious take on the death of romance.",067978148X,9780679781486,Paperback,,283 pages,Published       June 30th 1998        by Vintage Contemporaries                       (first published September 1987),"['Fiction', 'Contemporary', 'Novels', 'LGBT', 'Literature', 'American']"
9,60931,Kindred,Octavia E. Butler,4.23,"75,903 ratings","8,927   reviews","The first science fiction written by a black woman, Kindred has become a cornerstone of black American literature. This combination of slave memoir, fantasy, and historical fiction is a novel of rich literary complexity. Having just celebrated her 26th birthday in 1976 California, Dana, an African-American woman, is suddenly and inexplicably wrenched through time into antebellum Maryland. After saving a drowning white boy there, she finds herself staring into the barrel of a shotgun and is transported back to the present just in time to save her life. During numerous such time-defying episodes with the same young man, she realizes the challenge she’s been given: to protect this young slaveholder until he can father her own great-grandmother.",0807083690,9780807083697,Paperback,,287 pages,Published       February 1st 2004        by Beacon Press                       (first published June 1979),"['Historical', 'Historical Fiction', 'Fiction', 'Science Fiction', 'Fantasy', 'Science Fiction', 'Time Travel']"
10,12194,Lord Jim,Joseph Conrad,3.62,"25,862 ratings","1,181   reviews","Jim, a young British seaman, becomes first mate on the Patna, a ship full of pilgrims travelling to Mecca for the hajj. When the ship starts rapidly taking on water and disaster seems imminent, Jim joins his captain and other crew members in abandoning the ship and its passengers. A few days later, they are picked up by a British ship. However, the Patna and its passengers are later also saved, and the reprehensible actions of the crew are exposed. The other participants evade the judicial court of inquiry, leaving Jim to the court alone. He is publicly censured for this action and the novel follows his later attempts at coming to terms with his past. The novel is counted as one of 100 best books of the 20th century.Joseph Conrad (1857-1924), was a Polish author who wrote in English after settling in England. Conrad is regarded as one of the greatest novelists in English, though he did not speak the language fluently until he was in his twenties. He wrote stories and novels, often with a nautical setting, that depict trials of the human spirit in the midst of an indifferent world. He was a master prose stylist who brought a distinctly non-English tragic sensibility into English literature.Contents: Lord JimMemoirs & Letters:A Personal Record; or Some ReminiscencesThe Mirror of the SeaNotes on Life & LettersBiography & Critical Essays:Joseph Conrad (A Biography) by Hugh WalpoleJoseph Conrad by John Albert MacyA Conrad Miscellany by John Albert MacyJoseph Conrad by Virginia Woolf",1551111721,9781551111728,Paperback,,455 pages,Published       November 7th 2000        by Broadview Press Inc                       (first published 1900),"['Classics', 'Fiction', 'Literature', 'Adventure']"
11,3754016,Shadow's Edge,Brent Weeks,4.27,"84,073 ratings","1,881   reviews","The second novel in the Night Angel trilogy, the breakneck epic fantasy from New York Times bestselling author Brent Weeks.Kylar Stern has rejected the assassin's life. The Godking's successful coup has left Kylar's master, Durzo, and his best friend, Logan, dead. He is starting over: new city, new friends, and new profession.But when he learns that Logan might actually be alive and in hiding, Kylar is faced with an agonizing choice: will he give up the way of shadows forever and live in peace with his new family, or will he risk everything by taking on the ultimate hit?Devour this blockbuster tale of assassination and magic by Brent Weeks, which has delighted readers all over the world--with over one million copies in print!",0316033650,9780316033657,Mass Market Paperback,,636 pages,Published       November 1st 2008        by Orbit,"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'Magic']"
