n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
300196,"
      Sidney & Norman: A Tale of Two Pigs
",Phil Vischer,"
  4.52
","

  199
  ratings
","

    38
    reviews
","A multi-layered tale of two very different pigs that you will find yourself snickering at . . . yet you will find very thought-provoking. Sidney & Norman uses the simple context of two pigs living next door to each other to communicate a profound truth about how we judge each other and often judge ourselves. On the surface, Sidney & Norman appears to be a picture book that will entertain kids. But this story has deeply moved adult audiences in informal readings, leading to deep-thinking discussions.",1400308348,9781400308347),Hardcover,,48 pages,"
            Published
        September 1st 2006
         by Tommy Nelson

            
              (first published August 29th 2006)
            
","['Childrens', 'Picture Books', 'Childrens', 'Christian', 'Religion']"
932634,"
      3000 Degrees: The True Story of a Deadly Fire and the Men Who Fought It
",Sean Flynn,"
  4.33
","

  398
  ratings
","

    50
    reviews
","In the fading industrial city of Worcester, Massachusetts, there are men whose jobs are to brave danger, endure long shifts, and trust other men with their lives. Like their counterparts in cities and small towns everywhere, they are firefighters, and like firefighters everywhere, they take enormous pride in their brotherhood and their calling. On December 3, 1999, as the men of Central Street and other Worcester stations lived their daily lives, worked second jobs, and raised their children, they did not know an inferno unlike anything they had ever seen was about to put them to the ultimate test.The fire at Worcester Cold Storage was ignited by two vagrants' Christmas candle. When the first firefighters arrived on the scene, the building-a hulking, abandoned, windowless warehouse-was waiting to explode. As men fought to contain the flames with hoses, they were suddenly surrounded by confusing, suffocating darkness and searing steam. Worcester Cold Storage-with its mazelike layout and rooms so insulated that they prevented men from hearing each other's alarms-was turning into a furious beast, disorienting those inside it, seemingly determined to kill as many men as it could.3000 DEGREES stands with the best works of American reportage. Sean Flynn takes us into the private lives of men heading inexorably into one sudden shared, overwhelming battle. He captures the agony of working wives and mothers hearing the news with mounting terror and a community being hurtled toward unbearable loss. Most of all, he vividly depicts the moments of truth, when ordinary men know that their brothers are going to die, and that to live with themselves, to take another single breath, they too must be prepared to lay down their lives.",0446528315,9780446528313),Hardcover,,245 pages,"
            Published
        March 29th 2002
         by Warner Books (NY)

      ","['Nonfiction', 'History', 'Biography']"
611843,"
      Hujan Pagi
",A. Samad Said,"
  4.19
","

  192
  ratings
","

    26
    reviews
","Hujan Pagi mengesani dan menghuraikan kekusutan jiwa seorang wartawan generasi sebelum perang yang tidak lagi memahami dan menyesuaikan dirinya dengan perubahan arah dan perkembangan suasana akhbar masa kini. Segala yang berlaku sekarang menyentuh hati nurani dan pegangan hidup wartawan itu.Perkembangan baru dalam harian Sinar Pagi menyebabkan Lokman terseksa dan tergelincir ke dalam dunia halusinasinya sendiri. Menurut doktor jiwanya, Dr Ahmad Dio, penyakit Lokman akan lebih serius, jika tidak segera dibantu. Dalam mingguan halusinasinya iaitu mingguan Hujan Pagi, Lokman merasa berperanan dan dihargai. Dirasakan ada sesuatu perjuangan yang bermakna, sesuai dengan latarnya sebagai seorang nasionalis.Novel ini mempunyai unsur-unsur lagenda, sejarah, arkeologi, astronomi dan politik dalam Hujan Pagi tidak dimaksudkan hanya sebagai latar tempat dan mental manusia-manusianya atau sebagai sisipan ramuan ilmu tertentu, lebih daripada itu ia menjadi pelantar hujah dan percakapan idea tentang beberapa hal dan pendapat dulu dan sekarang.",9836204849,9836204849,Paperback,,418 pages,"
            Published
        1987
         by Dewan Bahasa dan Pustaka

      ","['Novels', 'Fiction']"
7794506-evrenden-torpilim-var,"
      Evrenden Torpilim Var!
",Aykut Oğut,"
  3.80
","

  683
  ratings
","

    30
    reviews
","Siz hiç 150 kilo oldunuz mu? Sizin hiç yabancı bir ülkede bavulunuzu kaybettiğiniz, sabahları mısır gevreğine bira döküp hayatta kalırken günlerce tek kelime bile konuşmadığınız, dayak yedikten sonra girdiğiniz komadan bir gözünüzü kaybetmiş olarak çıkıp tekrar parklara döndüğünüz, annenizi kaybettikten sonra hapiste yatarken babanızı kaybettiğiniz oldu mu?Benim oldu.Peki ya sonra o yabancı ülkenin dilinde şakır şakır konuşup hatta seslendirme yönetmenliği bile yaptığınız, o ülkedeki filmlerde başrol oynadığınız, 70 kilo verip filinta gibi olduğunuz, yeni ve mutlu bir hayat kurduğunuz, elinizi attığınız her işi altın yumurtlayan tavuğa çevirdiğiniz, her saniyenizi gülümseyerek geçirdiğiniz, hayatta istediğiniz her şeyi elde etmeye başladığınız oldu mu?Benim oldu.Nasıl mı?Gelin anlatayım.",,,Paperback,,264 pages,"
            Published
        February 2009
         by Dharma Yayınları

            
              (first published 2009)
            
","['Self Help', 'Cultural', 'Turkish', 'Asian Literature', 'Turkish Literature']"
8293890-alice-19th-volume-7,"
      Alice 19th, Volume 7
",Yuu Watase,"
  4.09
","

  2,514
  ratings
","

    49
    reviews
","Alice is een dromerig meisje die moeite heeft om haar gevoelens uit te drukken. In het geheim verliefd op een jongen die met haar een traditionele boogcursus bijwoont, ziet ze machteloos toe hoe haar zus hem een liefdeverklaring aflegt en probeert ze haar passie en haar gevoelens te vergeten. Zoals de heldin van Lewis Caroll, zal ze ook een vreemd wit konijn ontmoeten die haar naar het bovennatuurlijke zal doen omzwaaien. Ze zal van dit konijn vernemen dat ze een Meester van Lotis is en dat ze het masgische vermogen heeft om heilige woorden te controleren...",906969459X,9789069694597),Paperback,,191 pages,"
            Published
        February 2007
         by Glénat

            
              (first published April 24th 2003)
            
","['Sequential Art', 'Manga', 'Fantasy', 'Romance', 'Sequential Art', 'Graphic Novels', 'Sequential Art', 'Comics', 'Manga', 'Shojo']"
6121374-u-lg-n-t-rkler,"
      Şu Çılgın Türkler
",Turgut Özakman,"
  4.14
","

  3,930
  ratings
","

    71
    reviews
","Dünyadaki en meşru, en ahlaklı, en haklı, en kutsal savaşlardan birinin, emperyalizme karşı verilmiş ve kazanılmış ilk kurtuluş savaşının, bir millileşme ihtilalinin romanı, şaşırtıcı bir yakın zaman destanı...· Turgut Özakman'ın elli küsur yıldır süregelen çabasının ürünü.· Milli Mücadelemizin, bir serüven romanı gibi rahat okunan ve şimdiye kadar yazılmamış ayrıntılı, çok yönlü öyküsü.· Gurur ve ibret verici gerçeklerin, gerçek belgelere dayalı olgu ve olayların, insanı içine çeken, şaşırtan, heyecanlandıran, ağlatan, gönendiren anlatısı.Tüm yeni nesillere eşi olmayan bir armağan.""...Özakman'ın kitabı, tarihsel bir gerçeğin güzelim bir Türkçeyle roman diline dönüştürülmesidir. Kırk yıllık özel çabayla saydamlaştırılan özgün tarihimizin anlamını yeniden ve bu vakitte içimize sindirmek, bize ve yeni kuşaklara her zamankinden daha çok gerekli. Bu kitabı okuyun, çocuklarınıza okutun, dostlarınıza armağan edin!""- İlhan Selçuk, Cumhuriyet""Şu Çılgın Türkler'i okuyun, 'çılgın' babalarınızla, dedelerinizle onur duyun.""- Hasan Pulur, Milliyet""Olağanüstü akıcı, öğretici, bize yakın geçmişimizi bir kez daha yaşatan bir eser.""- Emin Çölaşan, Hürriyet""Hiç 688 sayfa boyunca gözlerinizin sürekli dolduğu oldu mu? Hiç, bir kitap boyu acıyı, kederi, gururu ve zaferi akıl almaz med-cezirler arasında adeta yaşadığınız oldu mu?.. Hiç, hıçkırıklarınızdan övünç duyduğunuz oldu mu?.. Benim oldu. Elleri öpülesi Turgut Özakman'ın 'Şu Çılgın Türkler' kitabını okurken.""- Ümit Zileli, Cumhuriyet""...Bu kitabı okurken, kendi babamdan ve amcamdan, ailemden hep duyduğum olayları yaşadım. Bunu ancak çılgın Turgut yazabilirdi. Ancak, doğrusu, haset duymadım desem yalan olur; böyle bir şaheseri kendim yazamadığım için!""- Altemur Kılıç, Ortadoğu""Şu Çılgın Türkler'i bu yaz mutlaka okuyun... Okutun... Hatta 'Çılgın Türkler' kursları açıp gençlere Kurtuluş Savaşı'nı öğretin... Mutlaka!"" - Ali Atıf Bir, Hürriyet",975220127X,9789752201279),Paperback,,752 pages,"
            Published
        November 2005
         by Bilgi Yayınevi

            
              (first published April 1st 2005)
            
","['History', 'Asian Literature', 'Turkish Literature', 'Cultural', 'Turkish', 'Roman']"
10426868-a-lancaster-county-christmas,"
      A Lancaster County Christmas
",Suzanne Woods Fisher,"
  4.17
","

  2,582
  ratings
","

    266
    reviews
","Jaime and C. J. Fitzpatrick began their married life as most couples do--in love and looking forward to a bright future together. But four years later they've drifted apart and are almost ready to call it quits.Mattie Riehl was hoping to give her husband Sol the Christmas gift they have both longed for--news that a baby was on the way. But as usual, she is disappointed. The holidays bring an acute awareness to Mattie that her dream of a big family isn't likely to become a reality.Then a winter storm raging outside blows the Fitzpatricks into the Riehl home--and into a much slower pace of life. Can these two couples from different worlds help each other understand the true meaning of love this Christmas?With her trademark plot twists and attention to detail, Suzanne Woods Fisher offers readers a beautiful Christmas story of love, forgiveness, and what truly matters in life.",800719956X,9780800719951),Hardcover,,198 pages,"
            Published
        October 1st 2011
         by Revell, a division of Baker Publishing Group

            
              (first published September 1st 2011)
            
","['Holiday', 'Christmas', 'Amish', 'Christian Fiction', 'Fiction', 'Christian', 'Christian Fiction', 'Amish Fiction', 'Romance']"
16078317-menuju,"
      Menuju(h)
",Aan Syafrani,"
  3.52
","

  268
  ratings
","

    61
    reviews
","Ia mengiringimu, menyetia dalam diam.Kadang, kau menantinya, menunggu kedatangannya. Tak jarang, kau memaki, mengutuk kepergiannya.Namun, ia masih mengiringimu, menyetia dalam diam.Begitulah cinta seperti seharusnya. Seperti hari-hari yang menampung keluh kesah, membangun keabadian, mencipta sejarah dalam kenangan.Senin, Selasa, Rabu, Kamis, Jumat, Sabtu, Minggu.Ia menyetia. Menyertamu dalam luka, juga bahagia.|Menuju(h) adalah kolaborasi tujuh penulis muda, berbagi cerita tentang hari-hari yang menyetia|",9797805913,9797805913,Mass Market Paperback,,260 pages,"
            Published
        October 2012
         by Gagas Media

      ","['Romance', 'Asian Literature', 'Indonesian Literature', 'Short Stories', 'Fiction', 'Novels', 'Young Adult']"
260776,"
      Spiritual Leadership: Moving People on to God's Agenda
",Henry T. Blackaby,"
  4.12
","

  1,374
  ratings
","

    66
    reviews
",,0805418458,9780805418453),Paperback,,305 pages,"
            Published
        May 15th 2001
         by B Books

            
              (first published 2001)
            
","['Leadership', 'Christian', 'Nonfiction', 'Religion', 'Church', 'Spirituality', 'Religion', 'Theology']"
10689770-quando-il-diavolo-ti-accarezza,"
      Quando il diavolo ti accarezza
",Luca Tarenzi,"
  3.81
","

  161
  ratings
","

    30
    reviews
","In una Milano buia e sferzata dalla pioggia, Lena sta inseguendo la sua amica Sofia, misteriosamente caduta in uno stato di trance. Davanti alla mole imponente della stazione Centrale, tra i marmi dievolmente illuminati dalla luce dei lampioni, la giovane assiste a un incredibile duello: un'immensa creatura di fuoco sta per annientare un ragazzo nudo e coperto di sangue. D'istinto Lena interviene e permette al giovane di approfittare di un attimo di distrazione dell'avversario per rovesciare le sorti della battaglia e decapitarlo con la sua stessa spada. Solo che l'assalitore era un angelo e il giovane, Arioch, un demone appena evocato per uccidere Sofia. Lena è determinata, coraggiosa, testarda e per salvare la sua migliore amica è disposta a tutto, anche a mettersi contro un demone. Arioch è antico come il mondo, violento, sanguinario e ha una missione cui è vincolato. E, purtroppo per Lena, ha anche due occhi penetranti e stregati...",886256385X,9788862563857),Hardcover,,358 pages,"
            Published
        February 2011
         by Salani

      ","['Fantasy', 'Fantasy', 'Urban Fantasy', 'Fiction', 'European Literature', 'Italian Literature', 'Love']"
