n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
361487,"
      Becoming Naomi León
",Pam Muñoz Ryan,"
  4.03
","

  11,200
  ratings
","

    965
    reviews
",,0439269970,9780439269971),Paperback,,246 pages,"
            Published
        October 1st 2005
         by Scholastic Paperbacks

            
              (first published September 1st 2004)
            
","['Realistic Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Fiction', 'Childrens', 'Cultural', 'Family']"
14082,"
      Malgudi Days
",R.K. Narayan,"
  4.21
","

  14,543
  ratings
","

    562
    reviews
","Four gems, with new introductions, mark acclaimed Indian writer R. K. Narayan’s centennialIntroducing this collection of stories, R. K. Narayan describes how in India “the writer has only to look out of the window to pick up a character and thereby a story.” Composed of powerful, magical portraits of all kinds of people, and comprising stories written over almost forty years, Malgudi Days presents Narayan’s imaginary city in full color, revealing the essence of India and of human experience. This edition includes an introduction by Pulitzer Prize- winning author Jhumpa Lahiri. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",0143039652,9780143039655),Paperback,,264 pages,"
            Published
        November 2nd 2006
         by Penguin Classics

            
              (first published 1943)
            
","['Fiction', 'Cultural', 'India', 'Short Stories', 'Classics', 'Asian Literature', 'Indian Literature']"
324205,"
      Thou Art That: Transforming Religious Metaphor
",Joseph Campbell,"
  4.32
","

  912
  ratings
","

    79
    reviews
","Thou Art That is a compilation of previously uncollected essays and lectures by Joseph Campbell that focus on the Judeo-Christian tradition. Here Campbell explores common religious symbols, reexamining and reinterpreting them in the context of his remarkable knowledge of world mythology. According to Campbell, society often confuses the literal and metaphorical interpretations of religious stories and symbols. In this collection, he eloquently reestablishes these metaphors as a means to enhance spiritual understanding and mystical revelation. With characteristic verve, he ranges from rich storytelling to insightful comparative scholarship. Included is editor Eugene Kennedy’s classic interview with Campbell in The New York Times Magazine, which brought the scholar to the public’s attention for the first time.",1577312023,9781577312024),cloth,,192 pages,"
            Published
        August 31st 2001
         by New World Library

      ","['Fantasy', 'Mythology', 'Nonfiction', 'Religion', 'Philosophy', 'Spirituality', 'Psychology', 'History', 'Religion', 'Theology', 'Anthropology', 'Art']"
207153,"
      Shiloh
",Phyllis Reynolds Naylor,"
  3.93
","

  69,588
  ratings
","

    2,122
    reviews
","When Marty Preston comes across a young beagle in the hills behind his home, it's love at first sight—and also big trouble. It turns out the dog, which Marty names Shiloh, belongs to Judd Travers who drinks too much and has a gun—and abuses his dogs. So when Shiloh runs away from Judd to Marty, Marty just has to hide him and protect him from Judd. But Marty's secret becomes too big for him to keep to himself, and it exposes his entire family to Judd's anger. How far will Marty have to go to make Shiloh his?",0689862229,9780689862229),Paperback,,145 pages,"
            Published
        May 1st 2003
         by Aladdin Paperbacks

            
              (first published January 1st 1991)
            
","['Fiction', 'Childrens', 'Animals', 'Young Adult', 'Classics']"
8960,"
      Vampire Mountain
",Darren Shan,"
  4.17
","

  28,670
  ratings
","

    758
    reviews
","In the fourth book of the bestselling Cirque Du Freak series, Darren Shan and Mr. Crepsley embark on a dangerous trek to the very heart of the vampire world. But they face more than the cold on Vampire Mountain-the vampaneze have been there before them. Will a meeting with the Vampire Princes restore Darren's human side, or turn him further toward the darkness? Only one thing is certain-Darren's initiation into the vampire clan is more deadly than he can ever have imagined.",0316905747,9780316905749),Mass Market Paperback,,208 pages,"
            Published
        September 1st 2003
         by Little, Brown Young Readers

            
              (first published 2001)
            
","['Fantasy', 'Young Adult', 'Paranormal', 'Vampires', 'Horror', 'Fantasy', 'Paranormal']"
38657,"
      The Stolen Child
",Keith Donohue,"
  3.71
","

  10,622
  ratings
","

    1,386
    reviews
","Inspired by the W.B. Yeats poem that tempts a child from home to the waters and the wild, The Stolen Child is a modern fairy tale narrated by the child Henry Day and his double.On a summer night, Henry Day runs away from home and hides in a hollow tree. There he is taken by the changelings—an unaging tribe of wild children who live in darkness and in secret. They spirit him away, name him Aniday, and make him one of their own. Stuck forever as a child, Aniday grows in spirit, struggling to remember the life and family he left behind. He also seeks to understand and fit in this shadow land, as modern life encroaches upon both myth and nature.In his place, the changelings leave a double, a boy who steals Henry’s life in the world. This new Henry Day must adjust to a modern culture while hiding his true identity from the Day family. But he can’t hide his extraordinary talent for the piano (a skill the true Henry never displayed), and his dazzling performances prompt his father to suspect that the son he has raised is an imposter. As he ages the new Henry Day becomes haunted by vague but persistent memories of life in another time and place, of a German piano teacher and his prodigy. Of a time when he, too, had been a stolen child. Both Henry and Aniday obsessively search for who they once were before they changed places in the world.The Stolen Child is a classic tale of leaving childhood and the search for identity. With just the right mix of fantasy and realism, Keith Donohue has created a bedtime story for adults and a literary fable of remarkable depth and strange delights.",0385516169,9780385516167),Hardcover,,327 pages,"
            Published
        May 9th 2006
         by Nan A. Talese

      ","['Fantasy', 'Fiction', 'Fantasy', 'Fairy Tales']"
7008041-the-ghost-and-the-goth,"
      The Ghost and the Goth
",Stacey Kade,"
  3.87
","

  16,677
  ratings
","

    1,584
    reviews
","Alona Dare–Senior in high school, co-captain of the cheerleading squad, Homecoming Queen three years in a row, voted most likely to marry a movie star… and newly dead.I’m the girl you hated in high school. Is it my fault I was born with it all-good looks, silky blond hair, a hot body, and a keen sense of what everyone else should not be wearing? But my life isn’t perfect, especially since I died. Run over by a bus of band geeks—is there anything more humiliating? As it turns out, yes—watching your boyfriend and friends move on with life, only days after your funeral. And you wouldn’t believe what they’re saying about me now that they think I can’t hear them. To top it off, I’m starting to disappear, flickering in and out of existence. I don’t know where I go when I’m gone, but it’s not good. Where is that freaking white light already?Will Killian–Senior in high school, outcast, dubbed “Will Kill” by the popular crowd for the unearthly aura around him, voted most likely to rob a bank…and a ghost-talker.I can see, hear, and touch the dead. Unfortunately, they can also see, hear and touch me. Yeah, because surviving high school isn’t hard enough already. I’ve done my best to hide my “gift.” After all, my dad, who shared my ability, killed himself because of it when I was fifteen. But lately, pretending to be normal has gotten a lot harder. A new ghost—an anonymous, seething cloud of negative energy with the capacity to throw me around—is pursuing me with a vengeance. My mom, who knows nothing about what I can do, is worrying about the increase in odd incidents, my shrink is tossing around terms like “temporary confinement for psychiatric evaluation,” and my principal, who thinks I’m a disruption and a faker, is searching for every way possible to get rid of me. How many weeks until graduation?",142312197X,9781423121978),Hardcover,,281 pages,"
            Published
        June 29th 2010
         by Hyperion Book CH

            
              (first published 2010)
            
","['Young Adult', 'Fantasy', 'Paranormal', 'Paranormal', 'Ghosts', 'Romance', 'Fantasy']"
17449197-unhinged,"
      Unhinged
",A.G. Howard,"
  4.23
","

  20,403
  ratings
","

    2,645
    reviews
","Alyssa Gardner has been down the rabbit hole and faced the bandersnatch. She saved the life of Jeb, the guy she loves, and escaped the machinations of the disturbingly seductive Morpheus and the vindictive Queen Red. Now all she has to do is graduate high school and make it through prom so she can attend the prestigious art school in London she's always dreamed of. That would be easier without her mother, freshly released from an asylum, acting overly protective and suspicious. And it would be much simpler if the mysterious Morpheus didn’t show up for school one day to tempt her with another dangerous quest in the dark, challenging Wonderland—where she (partly) belongs. As prom and graduation creep closer, Alyssa juggles Morpheus’s unsettling presence in her real world with trying to tell Jeb the truth about a past he’s forgotten. Glimpses of Wonderland start to bleed through her art and into her world in very disturbing ways, and Morpheus warns that Queen Red won’t be far behind. If Alyssa stays in the human realm, she could endanger Jeb, her parents, and everyone she loves. But if she steps through the rabbit hole again, she'll face a deadly battle that could cost more than just her head.",1613125348,9781613125342),Hardcover,,387 pages,"
            Published
        January 7th 2014
         by Amulet Books

      ","['Fantasy', 'Young Adult', 'Romance', 'Retellings']"
6696465-finally,"
      Finally
",Wendy Mass,"
  4.19
","

  16,727
  ratings
","

    1,200
    reviews
","A humorous look at what it means to FINALLY turn twelve years old.You can pierce your ears when you're twelve. You can go to the mall with your friends when you're twelve. You can babysit little Timmy next door when you're twelve. You can get a cell phone when you're twelve. Hey, you can even ride in the front passenger-side seat when you're twelve.When you're twelve, when you're twelve, when you're twelve...My name is Rory Swenson, and I've been waiting to turn twelve my whole life. In exactly 18 hours, 36 minutes, and 52 seconds, it will finally happen.My life will officially begin.",0545052424,9780545052429),Hardcover,,304 pages,"
            Published
        March 1st 2010
         by Scholastic Press

      ","['Childrens', 'Middle Grade', 'Young Adult', 'Realistic Fiction', 'Childrens']"
89185,"
      Chasm City
",Alastair Reynolds,"
  4.14
","

  18,536
  ratings
","

    729
    reviews
","The once-utopian Chasm City -a doomed human settlement on an otherwise inhospitable planet- has been overrun by a virus known as the Melding Plague, capable of infecting any body, organic or computerized. Now, with the entire city corrupted -from the people to the very buildings they inhabit- only the most wretched sort of existence remains. For security operative Tanner Mirabel, it is the landscape of nightmares through which he searches for a low-life postmortal killer. But the stakes are raised when his search brings him face to face with a centuries-old atrocity that history would rather forget.",0441010644,9780441010646),Mass Market Paperback,,694 pages,"
            Published
        May 27th 2003
         by Ace Books

            
              (first published May 2001)
            
","['Science Fiction', 'Fiction', 'Space', 'Space Opera']"
