n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
950704,"
      Little Boxes Of Bewilderment: Suspense Comedies
",Jack Ritchie,"
  4.41
","

  22
  ratings
","

    4
    reviews
",,0312029446,9780312029449),Hardcover,,,"
            Published
        
         by St. Martin's Press

            
              (first published 1989)
            
","['Humor', 'Short Stories']"
10836641,"
      कुरुक्षेत्र
",Ramdhari Singh 'Dinkar',"
  4.36
","

  414
  ratings
","

    22
    reviews
",,8170281865,9788170281863),Paperback,,120 pages,"
            Published
        January 1st 2007
         by Rajpal & Sons

            
              (first published 1946)
            
","['Poetry', 'Fiction', 'Fantasy', 'Mythology']"
33810033-summary-of-eat-fat-get-thin,"
      Summary of Eat Fat, Get Thin: by Mark Hyman | Includes Analysis
",Elite Summary,"
  4.17
","

  6
  ratings
","

    0
    reviews
"," Eat Fat, Get Thin: by Mark Hyman | Summary & Analysis  A Smarter You In 15 Minutes… What is your time worth?  Today only, get this Amazon bestseller for just $2.99. Regularly priced at $4.99. Read on your PC, Mac, smart phone, tablet or Kindle device.  Fat begets fat- it's an idea that has been ingrained in our heads by doctors and dietitians alike in the wake of the recent obesity epidemic. But what if that idea, that eating fat makes you fat, is wrong? Author Mark Hyman, M.D. Challenges this long-held belief in his new guide, Eat Fat, Get Thin. Hyman explores the idea that eating more fat does not necessarily make you fatter; in fact, he maintains that adding more fats to your diet can reverse disease, diabetes and even help lose weight.  This revolutionary book is your complete guide to living and eating healthy. Eat Fat, Get Thin is split into four parts and immediately sets to work tearing down the long-held perception that ingesting lots of fat is bad for your health. Hyman provides a number of resources for the reader as well, including shopping lists, exercise plans, and plenty of input regarding just how these fats work to improve your health. It's a compelling guide jam-packed with scientific evidence supporting the idea that eating more fats can actually improve your health.  For the reader looking to make a change, Eat Fat, Get Thin is an excellent piece. Mark Hyman does an excellent job of providing resources to support the reader and encourage the change, rather than just offer dry advice. From start to finish, the book is thorough in its offering of unconventional wisdom and ways to make your personal transformation happen. Practical and well-written, Eat Fat, Get Thin is a thought-provoking diet plan that is sure to turn your perception of healthy eating and wellness on its head.   
   Detailed overview of the book 
   Most valuable lessons and information 
   Key Takeaways and Analysis 
   Take action today and download this book for a limited time discount of only $2.99!  Written by Elite Summaries Please note: This is a detailed summary and analysis of the book and not the original book.  keyword: Eat Fat Get Thin, Eat Fat Get Thin book, Mark Hyman, Eat Fat Get Thin Mark Hyman, Eat Fat Get Thin paperback, Eat Fat Get Thin kindle",English,English,Kindle Edition,,57 pages,"
            Published
        January 1st 2017
        

      ",[]
23128387-a-silent-voice-volume-1,"
      A Silent Voice, Volume 1
",Yoshitoki Oima,"
  4.35
","

  16,198
  ratings
","

    878
    reviews
","LEARNING TO LISTENShoya is a bully. When Shoko, a girl who can’t hear, enters his elementary school class, she becomes their favorite target, and Shoya and his friends goad each other into devising new tortures for her. But the children’s cruelty goes too far. Shoko is forced to leave the school, and Shoya ends up shouldering all the blame. Six years later, the two meet again. Can Shoya make up for his past mistakes, or is it too late?",163236056X,9781632360564),Paperback,,192 pages,"
            Published
        May 26th 2015
         by Kodansha Comics

            
              (first published January 8th 2011)
            
","['Sequential Art', 'Manga', 'Sequential Art', 'Graphic Novels', 'Young Adult', 'Sequential Art', 'Comics']"
33949113-elementos-secretos,"
      Elementos Secretos
",Margot Lee Shetterly,"
  3.96
","

  59,314
  ratings
","

    7,186
    reviews
","Antes que John Glenn descrevesse uma órbita à volta da terra ou Neil Armstrong caminhasse na lua, um grupo de matemáticas, conhecidas como os ""computadores humanos"", calculava, com lápis, réguas e calculadoras simples, equações complicadas que permitiriam lançar os foguetões e os astronautas para o espaço.Entre estas ""calculadoras"" havia um pequeno grupo excecional de mulheres afro-americanas, especialmente talentosas. Faziam parte das mentes mais brilhantes da sua geração. Mulheres que tinham sido relegadas para ensinar matemática em escolas públicas só para negros do Sul, mas que foram chamadas para servir durante a Segunda Guerra Mundial, devido à escassez de mão de obra, quando a indústria da aviação necessitava de qualquer pessoa que pudesse ajudar. De repente, essas mulheres desvalorizadas até então, encontraram empregos adequados à sua genialidade, e responderam afirmativamente à chamada do Tio Sam e foram para Hampton, na Virgínia, para o fascinante laboratório aeronáutico de Langley.Mesmo ali, foram segregadas do resto das mulheres porque a Lei na Virgínia assim o estabelecia. Deste modo, esta equipa ajudou de forma excelente a que os Estados Unidos ganhassem a corrida espacial à URSS durante a Guerra Fria.Esta é a história verdadeira das mulheres matemáticas afro-americanas da NASA, cujos cálculos ajudaram a concretizar alguns dos maiores feitos americanos no espaço, na qual se baseia um dos grandes filmes de Hollywood",8491391061,9788491391067),Paperback,,347 pages,"
            Published
        January 2017
         by HarperCollins

            
              (first published September 6th 2016)
            
","['Nonfiction', 'History', 'Science', 'Biography', 'Feminism']"
13509154-fermat-s-last-theorem,"
      Fermat's Last Theorem
",Simon Singh,"
  4.24
","

  22,803
  ratings
","

    986
    reviews
","When Andrew Wiles of Princeton University announced a solution of Fermat's last theorem in 1993, it electrified the world of mathematics. After a flaw was discovered in the proof, Wiles had to work for another year--he had already labored in solitude for seven years--to establish that he had solved the 350-year-old problem. Simon Singh's book is a lively, comprehensible explanation of Wiles's work and of the star-, trauma-, and wacko-studded history of Fermat's last theorem. Fermat's Enigma contains some problems that offer a taste of the math, but it also includes limericks to give a feeling for the goofy side of mathematicians.",9780007453061,9780007453061,Paperback,,340 pages,"
            Published
        2002
         by Harper Collins

            
              (first published September 8th 1997)
            
","['Science', 'Nonfiction', 'Science', 'Mathematics', 'History']"
20454635-the-last-american-vampire,"
      The Last American Vampire
",Seth Grahame-Smith,"
  3.98
","

  5,207
  ratings
","

    874
    reviews
","New York Times bestselling author Seth Grahame-Smith returns with the follow-up to Abraham Lincoln: Vampire Hunter--a sweeping, alternate history of 20th Century America as seen through the eyes of vampire Henry Sturges.THE LAST AMERICAN VAMPIREIn Reconstruction-era America, vampire Henry Sturges is searching for renewed purpose in the wake of his friend Abraham Lincoln's shocking death. It will be an expansive journey that will first send him to England for an unexpected encounter with Jack the Ripper, then to New York City for the birth of a new American century, the dawn of the electric era of Tesla and Edison, and the blazing disaster of the 1937 Hindenburg crash. Along the way, Henry goes on the road in a Kerouac-influenced trip as Seth Grahame-Smith ingeniously weaves vampire history through Russia's October Revolution, the First and Second World Wars, and the JFK assassination. Expansive in scope and serious in execution, THE LAST AMERICAN VAMPIRE is sure to appeal to the passionate readers who made Abraham Lincoln: Vampire Hunter a runaway success.",145550212X,9781455502127),Hardcover,,399 pages,"
            Published
        January 13th 2015
         by Grand Central Publishing

      ","['Horror', 'Historical', 'Historical Fiction', 'Paranormal', 'Vampires', 'Fiction', 'Fantasy', 'Fantasy', 'Paranormal']"
