n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
25676379-where-i-belong,"
      Where I Belong
",J.  Daniels,"
  4.02
","

  23,731
  ratings
","

    1,889
    reviews
","Librarian's Note: this is an alternate cover edition for ISBN 13: 9781311749116.When Mia Corelli returns to Alabama for a summer of fun with her childhood best friend, Tessa, there's only one thing keeping her on edge. One person that she’d do anything to avoid.Benjamin Kelly. World’s biggest dickhead.Mia hates him with a fury and has no desire to ever see him again. When she decides to start her summer off with a bang and finally give away her v-card, she unknowingly hands it over to the one guy that excelled at making her life miserable, learning a valuable lesson in the process.Always get the name of the guy you’re going home with.Ben can’t get the girl he spent one night with out of his head. When she leaves him the next morning, he thinks he’ll never see her again. Until he sees her lounging by the pool with his sister.Mia is determined to hate Ben, even though she can’t forget him.Ben is determined to prove he’s not the same guy he used to be.What happens when the one person you wish never existed becomes the one person you can’t imagine being without?",,,ebook,,,"
            Published
        June 2nd 2015
         by Smashwords

            
              (first published June 27th 2014)
            
","['Romance', 'New Adult', 'Contemporary', 'Romance', 'Contemporary Romance']"
7046916-de-engelenmaker,"
      De engelenmaker
",Stefan Brijs,"
  3.88
","

  6,962
  ratings
","

    482
    reviews
","Op 13 oktober 1984 keert na een afwezigheid van bijna twintig jaar Doktor Victor Hoppe terug naar zijn geboortedorp Wolfheim, vlak bij het drielandenpunt in de buurt van Vaals en Aken. De bekrompen dorpelingen reageren argwanend op zijn komst, zeker als blijkt dat hij drie kinderen van een paar weken oud bij zich heeft, die zelden te zien zijn. Dat voedt de geruchten en langzaam groeit het vermoeden dat ze ernstig ziek zijn. Maar er blijkt meer aan de hand, niet alleen met de kinderen, ook met de dokter zelf die, gegijzeld door zijn verleden, een beslissing neemt die hem onsterfelijkheid moet bezorgen. De engelenmaker is een verhaal over geloof en wetenschap, werkelijkheid en verbeelding, macht en onmacht, zin en onzin. Een roman waarin iedereen naar de waarheid op zoek is en uiteindelijk alleen zijn eigen waarheid vindt en gelooft.",9045014955,9789045014951),Hardcover,,446 pages,"
            Published
        March 2005
         by Atlas

            
              (first published 2005)
            
","['Horror', 'European Literature', 'Dutch Literature', 'Literature', 'Academic', 'School']"
969369,"
      Frida: A Novel of Frida Kahlo
",Bárbara Mujica,"
  3.91
","

  3,198
  ratings
","

    170
    reviews
","Frida Kahlo, painter and cultural icon, lived a life of extremes. The subject of an Academy Award(c) nominated film starring Salma Hayek, Kahlo was crippled by polio and left barren by an accident when she was a teenager. And yet she went on to fall in love with and marry another star of the art world, muralist Diego Rivera. filled with passion, jealousy, and deceit, their story captured the world's imagination. Told in the voice of Frida's sister Cristina, who bears witness to Frida and Diego's tumultuous marriage, this is a brilliantly vivid work of historical fiction. What unfolds is an intense tale of sibling rivalry, as both sisters vie for Rivera's affection. Mujica imbues the lives and loves of these remarkable characters with sparkling drama and builds her tale to a shattering conclusion.",158567074X,9781585670741),Hardcover,,,"
            Published
        January 29th 2001
         by Harry N. Abrams

            
              (first published 2001)
            
","['Fiction', 'Art', 'Historical', 'Historical Fiction']"
23592248-effortless---einfach-verliebt,"
      Effortless - Einfach verliebt
",S.C. Stephens,"
  4.36
","

  111,444
  ratings
","

    4,433
    reviews
","Kiera und Kellans Beziehung begann mit Schmerz und Verrat. Sie haben beide gelogen, sie haben beide betrogen – doch eines steht fest: Kellan ist Kieras große Liebe. Um nicht wieder die gleichen Fehler zu begehen, konzentriert sie sich nun lieber auf die Uni und auf sich selbst. Sie lebt mit ihrer Schwester in einem winzigen, aber gemütlichen Apartment. Mit Kellan versucht sie diesmal, alles richtig zu machen – in ganz kleinen Schritten. Das geht so lange gut, bis Kellan Seattle für eine Tournee verlässt, und die Vergangenheit Kiera wieder einholt ...",3442482534,9783442482535),Paperback,,660 pages,"
            Published
        June 22nd 2015
         by Goldmann

            
              (first published June 13th 2011)
            
","['Romance', 'New Adult', 'Contemporary', 'Romance', 'Contemporary Romance']"
185293,"
      Skybowl
",Melanie Rawn,"
  4.09
","

  9,766
  ratings
","

    49
    reviews
","With her widely acclaimed fantasy trilogy, DRAGON PRINCE, Melanie Rawn opened an enchanted gateway to a spellbinding universe of Sunrunner's magic and sorcerous evil, telling the tale of one man's crusade to bring peace to a land divided into often warring kingdoms. In the first two novels of the best-selling DRAGON STAR trilogy, the peaceful reign of High Prince Rohan was shattered by a mysterious invasion force which began a devastating campaign against the people of the Desert and the Sunrunners. And now, SKYBOWL brings this magnificent epic work of fantasy to its dramatic close.With High Prince Pol's wife Meiglan held prisoner by the Warlord of the enemy, and Skybowl keep purposefully abandoned to this deadly foe, Pol's mother Sioned leads a daring mission into the castle, using all her years of experience as High Princess in a cunning attempt to strike at the heart of the invasion force. And even as Sioned carries out this perilous plan, Pol and his cousin Andry, Lord of the Sunrunners of Goddess Keep, are forced into an uneasy alliance. For only if they can overcome their longtime rivalry and suspicions of one another and draw upon their combined powers of Sunrunning and Sorcery, do they stand any chance of defeating the invaders who have sworn to destroy the people of the Desert - down to the last newborn child...",0330333186,9780330333184),Paperback,,,"
            Published
        1995
         by Tor

            
              (first published 1993)
            
","['Fantasy', 'Fantasy', 'Dragons', 'Fiction', 'Science Fiction Fantasy']"
15818881-textos-dispersos,"
      Textos Dispersos
",Max Stirner,"
  4.00
","

  14
  ratings
","

    1
    review
","Colecção Passagens, #38""A necessidade ardente que o homem tem de não ficar só, desdobrando-se, de não estar satisfeito consigo, homem natural, procurando antes o segundo homem, espiritual, é apaziguada pelo homem de génio que leva a divisão ao seu acabamento. Então, e só então, aliviado, o homem respira fundo, pois finalmente foi resolvida a sua confusão interior, voltada para o exterior"".",9726997453,9726997453,Paperback,,124 pages,"
            Published
        2003
         by Vega

            
              (first published January 1st 1976)
            
",[]
1148768,"
      The Invention of Clouds
",Richard Hamblyn,"
  3.68
","

  174
  ratings
","

    34
    reviews
","The Invention of Clouds is the true story of Luke Howard, the amateur English meteorologist who in 1802 gave the clouds their names -- cumulus, cirrus, stratus. He immediately gained international fame, becoming a cult figure among artists and painters -- Goethe, Constable, and Coleridge revered him -- and legitimizing the science of meteorology. Part history of science, part cultural excavation, this is not only the biography of a man, but of a moment: the cultural birth of the modern scientific era.",0374177155,9780374177157),Hardcover,,403 pages,"
            Published
        August 20th 2001
         by Farrar Straus Giroux

            
              (first published January 1st 2001)
            
","['Science', 'Nonfiction', 'History', 'Biography', 'Environment', 'Nature']"
23598959-twisted,"
      Twisted
",Skyla Madi,"
  4.16
","

  644
  ratings
","

    70
    reviews
","Does a kitten have what it takes to become a lion? The underground fighting ring is a brutal game and Emily Sheppard is at the center of it all. With only two choices, Emily is torn between betraying the man who saved her life or accompanying him down the road to certain death.Jai Stone is on a mission to save his brother. The road that was once clear and simple has become murky and filled with uncertainties. Can they make it past round two? Or will Skull kill them before the round even begins?Once again, the fighter and the nurse fight for their lives in a deadly world of murder and deceit.",,,,,,,"['Warfare', 'Fighters', 'Dark', 'New Adult', 'Adult Fiction', 'Erotica']"
15814452-the-center-of-everything,"
      The Center of Everything
",Linda Urban,"
  3.77
","

  3,889
  ratings
","

    377
    reviews
","Spring 2013 Kids' Indie Next ListFor Ruby Pepperdine, the “center of everything” is on the rooftop of Pepperdine Motors in her donut-obsessed town of Bunning, New Hampshire, stargazing from the circle of her grandmother Gigi’s hug.  That’s how everything is supposed to be—until Ruby messes up and things spin out of control. But she has one last hope. It all depends on what happens on Bunning Day, when the entire town will hear Ruby read her winning essay. And it depends on her twelfth birthday wish—unless she messes that up too. Can Ruby’s wish set everything straight in her topsy-turvy world?",0547763484,9780547763484),Hardcover,,208 pages,"
            Published
        March 5th 2013
         by HMH Books for Young Readers

            
              (first published January 1st 2013)
            
","['Realistic Fiction', 'Childrens', 'Middle Grade', 'Fiction', 'Family', 'Childrens']"
18192717-the-cuckoo-s-calling,"
      The Cuckoo's Calling
",Robert Galbraith,"
  3.86
","

  433,678
  ratings
","

    31,620
    reviews
","When a troubled model falls to her death from a snow-covered Mayfair balcony, it is assumed that she has committed suicide. However, her brother has his doubts, and calls in private investigator Cormoran Strike to look into the case. A war veteran, wounded both physically and psychologically, Strike's life is in disarray. The case gives him a financial lifeline, but it comes at a personal cost: the more he delves into the young model's complex world, the darker things get - and the closer he gets to terrible danger . . . A gripping, elegant mystery steeped in the atmosphere of London - from the hushed streets of Mayfair, to the backstreet pubs of the East End, to the bustle of Soho - The Cuckoo's Calling is a remarkable debut. Introducing Cormoran Strike, it is a classic crime novel unlike any other book you will read this year.",,,Kindle Edition,,550 pages,"
            Published
        April 18th 2013
         by Little, Brown

      ","['Mystery', 'Fiction', 'Mystery', 'Crime']"
