n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
29350590-gefallene-m-dchen,"
      Gefallene Mädchen
",Lexy V. Golden,"
  4.01
","

  79
  ratings
","

    9
    reviews
","Dare Lá Roche besucht, seit sie vierzehn ist, die Akademie Sankt Loryane in Frankreich, auf der nur ausgewählte Mädchen mit besonderem Blut aufgenommen werden, um nach der Vollendung des einundzwanzigsten Lebensjahres ihrem Vampir übergeben zu werden. Während die anderen Mädchen sich nichts sehnlicher wünschen, als ihrem Vampir zu begegnen, glaubt Dare zu wissen, was Vampire in Wirklichkeit sind. Nicht die Beschützer der seltenen Mädchen – nein, sondern eine Art, die Menschen terrorisiert und für ihre Zwecke ausnutzt. Daher wird Dare alles mögliche tun, um ihrem zukünftigen Vampir, Lazares Descartes, zu entkommen. Wird ihr eine Flucht gelingen? Oder wird sie sich mit dem Fehltritt nur den Zorn des Vampirs zuziehen?  GEFALLENE MÄDCHEN – ist der erste Band der Vampirreihe, die in eine düstere, neuartige und sinnliche Welt entführt. Eine Geschichte, die von einem selbstbewussten Mädchen erzählt, das die Welt der Vampire völlig verändern wird. Denn Dare ist die Eine, nach der viele Vampire vergeblich suchen.  Der zweite Band erscheint voraussichtlich Ende April 2016.",,,Kindle Edition,,392 pages,"
            Published
        February 26th 2016
        

      ","['Fantasy', 'Paranormal', 'Vampires']"
32439383-et-tu-trouveras-le-tr-sor-qui-dort-en-toi,"
      Et tu trouveras le trésor qui dort en toi
",Laurent Gounelle,"
  3.82
","

  712
  ratings
","

    85
    reviews
","Tout commence le jour où Alice, une jeune femme dynamique et audacieuse, retrouve son ami d’enfance, Jérémie. Devenu prêtre de campagne, il lui confie être accablé par le faible nombre de fidèles qui le suivent. Athée et conseillère en communication, Alice se met en tête de l’aider… à sa manière.Amenée par la force des choses à se plonger dans le monde de la spiritualité, du christianisme à l’hindouisme, du taoïsme au bouddhisme, Alice va découvrir une vérité universelle particulièrement troublante. Une vérité concernant l’homme et la clé de son épanouissement, passée sous silence par les religieux, perdue au fil des siècles…Dans ce nouveau roman émouvant et captivant, Laurent Gounelle nous entraîne dans un univers passionnant à la découverte de ce qui permet à l’homme de s’élever dans une autre dimension, où ses actes sont puissants et sa joie, un état durable. Les livres de Laurent Gounelle sont tous des best-sellers, traduits dans le monde entier.",,,Kindle Edition,,302 pages,"
            Published
        October 5th 2016
         by Kero

            
              (first published January 1st 2016)
            
","['Fiction', 'Self Help', 'Roman', 'Cultural', 'France', 'Contemporary', 'Self Help', 'Personal Development', 'Psychology', 'Religion']"
42141,"
      Glass Soup
",Jonathan Carroll,"
  3.88
","

  1,326
  ratings
","

    76
    reviews
","For connoisseurs of imaginative fiction, the novels of Jonathan Carroll are a special treat that occupy a space all their own. His surreal fictions, which deftly mix the everyday with the extraordinary, have won him a devoted following. Now, in Glass Soup, Carroll continues to astound . . . .The realm of the dead is built from the dreams--and nightmares--of the living. Octopuses drive buses. God is a polar bear. And a crowded highway literally leads to hell.Once before, Vincent Ettrich and his lover, Isabelle Neukor, crossed over from life to death and back again. Now Isabelle bears a very special child, who may someday restore the ever-changing mosaic that is reality. Unless the agents of Chaos can lure her back to the land of the dead--and trap her there forever.Glass Soup is another exquisite and singular creation from the author January magazine described as ""incapable of writing a bad book much less an uninteresting one.""",0765311801,9780765311801),Paperback,,320 pages,"
            Published
        November 28th 2006
         by Tor Books

            
              (first published 2005)
            
","['Fiction', 'Fantasy', 'Magical Realism', 'Speculative Fiction', 'Fantasy', 'Urban Fantasy']"
13449467-ziemie-ja-owe,"
      Ziemie jałowe
",Stephen King,"
  4.24
","

  167,355
  ratings
","

    5,130
    reviews
",,,,Paperback,Wydanie V,559 pages,"
            Published
        2011
         by Albatros

            
              (first published August 1991)
            
","['Fantasy', 'Fiction', 'Horror', 'Science Fiction']"
3153393-a-menina-que-roubava-livros,"
      A Menina que Roubava Livros
",Markus Zusak,"
  4.37
","

  1,618,784
  ratings
","

    105,808
    reviews
","A trajetória de Liesel Meminger é contada por uma narradora mórbida, surpreendentemente simpática. Ao perceber que a pequena ladra de livros lhe escapa, a Morte afeiçoa-se à menina e rastreia suas pegadas de 1939 a 1943. Traços de uma sobrevivente: a mãe comunista, perseguida pelo nazismo, envia Liesel e o irmão para o subúrbio pobre de uma cidade alemã, onde um casal se dispõe a adotá-los por dinheiro. O garoto morre no trajeto e é enterrado por um coveiro que deixa cair um livro na neve. É o primeiro de uma série que a menina vai surrupiar ao longo dos anos. O único vínculo com a família é esta obra, que ela ainda não sabe ler.Assombrada por pesadelos, ela compensa o medo e a solidão das noites com a conivência do pai adotivo, um pintor de parede bonachão que lhe dá lições de leitura. Alfabetizada sob vistas grossas da madrasta, Liesel canaliza urgências para a literatura. Em tempos de livros incendiados, ela os furta, ou os lê na biblioteca do prefeito da cidade.A vida ao redor é a pseudorrealidade criada em torno do culto a Hitler na Segunda Guerra. Ela assiste à eufórica celebração do aniversário do Führer pela vizinhança. Teme a dona da loja da esquina, colaboradora do Terceiro Reich. Faz amizade com um garoto obrigado a integrar a Juventude Hitlerista. E ajuda o pai a esconder no porão um judeu que escreve livros artesanais para contar a sua parte naquela História. A Morte, perplexa diante da violência humana, dá um tom leve e divertido à narrativa deste duro confronto entre a infância perdida e a crueldade do mundo adulto, um sucesso absoluto - e raro - de crítica e público.",8598078174,9788598078175),Paperback,,480 pages,"
            Published
        February 15th 2007
         by Intrínseca

            
              (first published September 1st 2005)
            
","['Historical', 'Historical Fiction', 'Fiction', 'Young Adult']"
25360188-between-the-world-and-me,"
      Between the World and Me
",Ta-Nehisi Coates,"
  4.40
","

  164,464
  ratings
","

    17,968
    reviews
","For Ta-Nehisi Coates, history has always been personal. At every stage of his life, he's sought in his explorations of history answers to the mysteries that surrounded him -- most urgently, why he, and other black people he knew, seemed to live in fear. What were they afraid of? Coates takes readers along on his journey through America's history of race and its contemporary resonances through a series of awakenings -- moments when he discovered some new truth about our long, tangled history of race, whether through his myth-busting professors at Howard University, a trip to a Civil War battlefield with a rogue historian, a journey to Chicago's South Side to visit aging survivors of 20th century America's 'long war on black people,' or a visit with the mother of a beloved friend who was shot down by the police. In his trademark style -- a mix of lyrical personal narrative, reimagined history, essayistic argument, and reportage -- Coates provides readers a thrillingly illuminating new framework for understanding race: its history, our contemporary dilemma, and where we go from here.",,,Kindle Edition,,163 pages,"
            Published
        July 14th 2015
         by Spiegel & Grau

      ","['Nonfiction', 'Autobiography', 'Memoir', 'Race', 'History', 'Audiobook', 'Biography', 'Writing', 'Essays', 'Politics', 'Social Movements', 'Social Justice', 'Cultural', 'African American']"
32956365-the-light-we-lost,"
      The Light We Lost
",Jill Santopolo,"
  3.88
","

  58,676
  ratings
","

    6,056
    reviews
","He was the first person to inspire her, to move her, to truly understand her. Was he meant to be the last?Lucy is faced with a life-altering choice. But before she can make her decision, she must start her story—their story—at the very beginning. Lucy and Gabe meet as seniors at Columbia University on a day that changes both of their lives forever. Together, they decide they want their lives to mean something, to matter. When they meet again a year later, it seems fated—perhaps they’ll find life’s meaning in each other. But then Gabe becomes a photojournalist assigned to the Middle East and Lucy pursues a career in New York. What follows is a thirteen-year journey of dreams, desires, jealousies, betrayals, and, ultimately, of love. Was it fate that brought them together? Is it choice that has kept them away? Their journey takes Lucy and Gabe continents apart, but never out of each other’s hearts.",0735212759,9780735212756),Hardcover,,328 pages,"
            Published
        May 9th 2017
         by G.P. Putnam's Sons

      ","['Romance', 'Fiction', 'Contemporary', 'Womens Fiction', 'Chick Lit']"
16114708-lips-touch,"
      Lips Touch: Three Times
",Laini Taylor,"
  3.88
","

  12,542
  ratings
","

    2,126
    reviews
","From a writer of unparalleled, vivid imagination and emotional insight, three stories about the deliciousness of wanting and waiting for that moment when LIPS TOUCH...In Victorian times, goblins offered sumptuous fruits in exchange for maidens' souls... and where usually successful. But what does it take to tempt today's savvy young women? Discover the answer in GOBLIN FRUIT.In SPICY LITTLE CURSES a demon and the ambassador to Hell tussle over the soul of a beautiful English girl in India. Matters become complicated when she falls in love and decides to test the curse placed upon her.And in HATCHLING, six days before Esme's fourteenth birthday, her left eye turns from brown to blue. She little suspects what the change heralds, but her small safe life begins to unravel at once. What does the beautiful, fanged man want with her, and how is her fate connected to a mysterious race of demons?",1444731505,9781444731507),Hardcover,,265 pages,"
            Published
        October 24th 2013
         by Hodder & Stoughton

            
              (first published October 1st 2009)
            
","['Fantasy', 'Young Adult', 'Short Stories', 'Romance', 'Fantasy', 'Paranormal', 'Fiction']"
16085233-o-deus-das-moscas,"
      O Deus das Moscas
",William Golding,"
  3.67
","

  2,043,660
  ratings
","

    33,343
    reviews
","Publicado originalmente em 1954, O Deus das Moscas de William Golding é um dos mais perturbadores e aclamados romances da actualidade.Um avião despenha-se numa ilha deserta, e os únicos sobreviventes são um grupo de rapazes. Inicialmente, desfrutando da liberdade total e festejando a ausência de adultos, unem forças, cooperando na procura de alimentos, na construção de abrigos e na manutenção de sinais de fogo. A supervisioná-los está Ralph, um jovem ponderado, e o seu amigo gorducho e esperto, Piggy. Apesar de Ralph tentar impor a ordem e delegar responsabilidades, muitos dos rapazes preferem celebrar a ausência de adultos nadando, brincando ou caçando a grande população de porcos selvagens que habita a ilha. O mais feroz adversário de Ralph é Jack, o líder dos caçadores, que consegue arrastar consigo a maioria dos rapazes. No entanto, à medida que o tempo passa, o frágil sentido de ordem desmorona-se. Os seus medos alcançam um significado sinistro e primitivo, até Ralph descobrir que ele e Piggy se tornaram nos alvos de caça dos restantes rapazes, embriagados pela sensação aparente de poder.",9722047973,9789722047975),Paperback,,264 pages,"
            Published
        February 2012
         by Publicações Dom Quixote

            
              (first published September 17th 1954)
            
","['Classics', 'Fiction', 'Young Adult', 'Academic', 'School']"
40225198-horseman,"
      Horseman
",Kyle Robert Shultz,"
  4.42
","

  97
  ratings
","

    47
    reviews
"," A new series from the author of the acclaimed Beaumont and Beasley novels!  In the year 1790, monster hunter Ichabod Crane searched for a mysterious creature called the Headless Horseman. His quest ended in an embarrassing failure that marked his family with disgrace for generations.  Now, in 1891, his descendant Todd Crane is determined to prove that the Horseman is real. There's just one problem--Todd is a professional con artist and a seller of unlicensed magic potions. This puts him on the wrong side of the law and right in the crosshairs of US Marshal Amy Crockett.  As the Horseman returns to menace the western frontier, Todd and Amy must join forces to stop the monster once and for all. But if they're going to succeed, they'll have to make sacrifices that will change their lives forever.  Enter a Wild West where centaurs wear six-shooters and monsters roam the plains. Welcome to the United States of Neverica.  The Crockett and Crane series is perfect for fans of Indiana Jones, Supernatural, or Sleepy Hollow. It is a spinoff of the Beaumont and Beasley series, available now on Amazon.",,,Kindle Edition,,183 pages,"
            Published
        May 24th 2018
        

      ","['Fantasy', 'Fantasy', 'Fairy Tales', 'Humor', 'Fantasy', 'Dragons', 'Retellings']"
