n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
767642,"
      The Lotus Sutra
",Anonymous,"
  4.22
","

  1,492
  ratings
","

    50
    reviews
","Since its appearance in China in the third century, The Lotus Sutra has been regarded as one of the most illustrious scriptures in the Mahayana Buddhist canon. The object of intense veneration among generations of Buddhists in China, Korea, Japan, and other parts of the world, it has had a profound impact on the great works of Japanese and Chinese literature, attracting more commentary than any other Buddhist scripture.As Watson notes in the introduction to his remarkable translation, "" The Lotus Sutra is not so much an integral work as a collection of religious texts, an anthology of sermons, stories, and devotional manuals, some speaking with particular force to persons of one type or in one set of circumstances, some to those of another type or in other circumstances. This is no doubt why it has had such broad and lasting appeal over the ages and has permeated so deeply into the cultures that have been exposed to it.""",0231081618,9780231081610),Paperback,,390 pages,"
            Published
        April 7th 1994
         by Columbia University Press

            
              (first published 150)
            
","['Religion', 'Buddhism', 'Religion', 'Philosophy', 'Spirituality', 'Nonfiction', 'Classics']"
643483,"
      Henryk Grossman and the Recovery of Marxism
",Rick Kuhn,"
  4.25
","

  8
  ratings
","

    0
    reviews
","Rick Kuhn’s Henryk Grossman and the Recovery of Marxism is the definitive study of the life and work of this renowned economist, activist, and intellectual. As a young man, Grossman joined the socialist movement and participated in Jewish workers' strikes and demonstrations, as well as in boycotts against employers and the Austro-Hungarian state. He moved to Vienna, but was driven back to Poland by the Austrian state's racist citizenship policies. A member of the illegal Polish Communist Party, Grossman was frequently arrested and jailed, finally leaving Poland for a post at the Institute for Social Research in Frankfurt am Main, which gave rise to the famous 'Frankfurt School'. Grossman published his best known work in Frankfurt, including studies of Marx's method in Capital and theories of economic crisis that remain influential today. In tracing Grossman's experiences, from Kraków to New York, and offering a detailed account of his ideas, the biography provides an intimate account of key events in twentieth century history, including the politicization of east European Jewry, the World Wars, the rise of Stalinism and Nazism, and the cold war.",0252073525,9780252073526),Paperback,,352 pages,"
            Published
        December 21st 2006
         by University of Illinois Press

      ",['Biography']
108590,"
      Connect: 12 Vital Ties That Open Your Heart, Lengthen Your Life, and Deepen Your Soul
",Edward M. Hallowell,"
  3.94
","

  54
  ratings
","

    9
    reviews
","That last raise may be fattening your bank account, but it did nothing for your soul. The talk you had with your boss about your kids' schools, however, did. Although our culture is focused on achievement, it is not our accomplishments that sustain us. It is the connections we make along the way.  What are these connections? They are the feelings of being part of something that matters, something larger than ourselves, whether it is a friendship, marriage, team, company, or even a set of ideals. They can enrich your life, and their absence can shorten it. They are the key to what counts in life, and they are becoming harder and harder to make.  Now a noted psychiatrist outlines the steps we can take to make or reaffirm the connections that nourish the hungry heart. Through his own life experiences and those who have shared their stories with him, we learn of the great joy and peace that come from connecting, and the consequences of remaining detached. And we learn how to nurture that part of us which is so often neglected, and so very crucial to our emotional, psychological, and physical well-being -- our connections.",0743406214,9780743406215),Paperback,,352 pages,"
            Published
        April 1st 2001
         by Gallery Books

            
              (first published 1999)
            
","['Psychology', 'Spirituality', 'Nonfiction', 'Self Help']"
2445353,"
      A Square of Sky: Memoirs of a Wartime Childhood
",Janina David,"
  4.28
","

  104
  ratings
","

    9
    reviews
","The true, devastating story of a Jewish child's survival in wartime Poland, while the rest of her family were killed by the Nazis. Like The Diary of Anne Frank, but by a survivor who, instead of her own death, has to come to terms with the death of her parents and her own survival. Made into a massively successful film in Germany, where the author played a crucial role in excavating the legacy of the Holocaust by lecturing on her life",0907871178,9780907871170),Paperback,,429 pages,"
            Published
        December 1st 1992
         by Eland

            
              (first published 1964)
            
","['History', 'Nonfiction', 'Biography']"
6272008-to-hell-in-a-handbasket,"
      To Hell in a Handbasket
",Beth Groundwater,"
  3.78
","

  169
  ratings
","

    40
    reviews
","In this sequel to A Real Basket Case, Colorado Springs gift basket designer Claire Hanover takes a spring ski vacation in Breckenridge, Colorado, with her family. The vacation quickly goes to hell in a handbasket when the sister of her daughter’s boyfriend’ is killed on the ski slope. Others think an out-of-control snowboarder slammed into her, but just before the ski patrol arrived, Claire saw another pair of ski tracks that veered into the young woman’s. Claire passes her findings on to an initially skeptical sheriff’s detective. Confusing clues point to alternative scenarios for the young woman’s death—which was definitely no accident—and put Claire’s daughter, Judy, in the path of danger. As the spiral of intrigue winds tighter and other deaths occur, Claire must draw on inner reserves of strength to conquer not only the conspiracy but also the winter elements. And, like a mother bear, she must fiercely protect her independent-minded cub from harm.",1594147590,9781594147593),Hardcover,,267 pages,"
            Published
        May 1st 2009
         by Five Star (ME)

      ","['Mystery', 'Mystery', 'Cozy Mystery', 'Fiction']"
340704,"
      How the Pro-Choice Movement Saved America: Freedom, Politics, and the War on Sex
",Cristina Page,"
  4.02
","

  886
  ratings
","

    84
    reviews
",,0465054900,9780465054909),Paperback,,256 pages,"
            Published
        December 26th 2006
         by Basic Books

            
              (first published January 30th 2006)
            
","['Feminism', 'Nonfiction', 'Politics', 'History', 'Sociology', 'Gender', 'Gender Studies']"
315783,"
      The Soul of Baseball: A Road Trip Through Buck O'Neil's America
",Joe Posnanski,"
  4.29
","

  3,051
  ratings
","

    243
    reviews
","When Legendary Negro League player Buck O'Neil asked sports columnist Joe Posnanski how he fell in love with baseball, Posnanski had to think about it. From that question was born the idea behind BASEBALL AND JAZZ. Posnanski and the 94 year old O'Neil decided to spend the 2005 baseball season touring the country in hopes of stirring up the love that first drew them to the game. This book is just as much the story of Buck O'Neil as it is the story of baseball. In a time when disillusioned, steroid–shooting, money hungry athletes define the sport, Buck O'Neil stands out as a man that truly played for the love of the game. Posnanski writes about that love and the one thing that O'Neil loved almost as much as baseball: jazz. BASEBALL AND JAZZ is an endearing step back in time to the days when the crack of a bat and the smoky notes of a midnight jam session were the sounds that brought the most joy to a man's heart.",0060854030,9780060854034),Hardcover,,288 pages,"
            Published
        February 27th 2007
         by William Morrow

      ","['Sports', 'Baseball', 'Sports and Games', 'Sports', 'Nonfiction', 'Biography', 'History']"
165904,"
      Love, Dad
",Evan Hunter,"
  3.71
","

  129
  ratings
","

    11
    reviews
",,071812040X,9780718120405),Hardcover,,416 pages,"
            Published
        1981
         by Crown Publishers

      ",['Fiction']
35063,"
      Where Is Joe Merchant?
",Jimmy Buffett,"
  3.84
","

  3,554
  ratings
","

    249
    reviews
","Where is Joe Merchant? That's what his sister, Trevor Kane, the hemorrhoid-ointment heiress, wants to know. For Desdemona, Merchant is the missing link in her ongoing communications with space aliens. Tabloid journalist Rudy Breno only cares that Merchant gets bigger headlines than Elvis. And for renegade seaplane pilot Frank Bama, the mystery of the presumed-dead-but-often-sighted rock star is turning his life upside down.  	In his debut novel, Jimmy Buffett cooks up an irresistible gumbo of dreamers, wackos, pirates, and sharks, as he leads Trevor and Frank on a wild chase through the Caribbean Islands to a place where anything can happen . . . and everything does.",0156026996,9780156026994),Paperback,,459 pages,"
            Published
        September 1st 2003
         by Mariner Books

            
              (first published 1992)
            
","['Fiction', 'Mystery', 'Humor', 'Adventure']"
