n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
34321642-the-clover-chapel,"
      The Clover Chapel
",Devney Perry,"
  4.17
","

  5,833
  ratings
","

    674
    reviews
","She took a dare and fell in love. Truth would have been the smarter choice.After years of living under her father’s thumb, Emmeline is ready to break free. She’s abandoned her life as a New York socialite to follow her dream of becoming a kindergarten teacher in a small, wholesome town. Seeing the man that nearly broke her was absolutely not what she had hoped to find in Prescott, Montana.Nick hasn’t seen his Emmy in nine years, but that doesn’t mean he’s forgotten a thing about the woman he loves. After just one blissful night as man and wife, he gave her up, sacrificing his own happiness to keep her safe—far away from him. But the moment she walks back into his lonely life is the moment he decides never to let her go again. He won’t waste his second chance. All he has to do is win back Emmeline’s heart, keep her safe from the shadows in his past and prove to her that taking a wager on him is a sure bet.",,,ebook,,408 pages,"
            Published
        May 30th 2017
         by Devney Perry

      ","['Romance', 'Romance', 'Contemporary Romance', 'Contemporary']"
30733,"
      Montaigne: Essays
",Michel de Montaigne,"
  4.23
","

  14,499
  ratings
","

    555
    reviews
",,014017897X,9780140178975),Paperback,,416 pages,"
            Published
        July 1st 1993
         by Penguin Books

            
              (first published 1572)
            
","['Philosophy', 'Writing', 'Essays', 'Classics', 'Nonfiction', 'Cultural', 'France']"
13505163-th-p-t-i-th-y,"
      Thép đã tôi thế đấy
",Nikolai Ostrovsky,"
  3.82
","

  2,709
  ratings
","

    208
    reviews
","""Thép đã tôi thế đấy"" là cuốn tiểu thuyết do Nikolai Alexeevich Ostrovsky viết trong thời kỳ Stalin. Cuốn tiểu thuyết đã được dịch ra 70 thứ tiếng và in ra ở hơn 80 nước, trong đó có Việt Nam.Thép Đã Tôi Thế Đấy là một khúc ca tươi đẹp của đời sống. Mỗi trang sách như cuốn thêm máu chảy trong người đọc, nâng cao thêm nhiệt tình cách mạng, thúc giục chiến đấu, thúc giục công tác.Thép Đã Tôi Thế Đấy đã một thời được coi là cuốn sách gối đầu giường của bao thế hệ thanh niên Việt Nam. Nhân vật Pa -ven là một hình ảnh điển hình sâu sắc và là sự thể hiện trong sáng bằng nghệ thuật lịch sử của người thanh niên Xô Viết, sự thể hiện những phẩm chất chính trị, tinh thần cao quý, lòng trung thành sâu xa của người thanh niên Xô Viết đối với Đảng, Tổ quốc, nhân dân. Sức mạnh và tính hấp dẫn của hình ảnh Pa -ven chính là ở chỗ trong con người Pa -ven đã tổng hợp được những phẩm chất tốt đẹp nhất và điển hình nhất của thanh niên Xô Viết thời ấy.",,,Hardcover,Tái bản lần thứ 8,636 pages,"
            Published
        December 2010
         by Văn Học

            
              (first published 1934)
            
","['Fiction', 'Literature', 'Russian Literature', 'Cultural', 'Russia', 'Classics', 'Literature', 'War', 'Novels', 'Historical', 'Historical Fiction', 'Historical', 'Politics']"
6504894-sleepless,"
      Sleepless
",Charlie Huston,"
  3.66
","

  2,352
  ratings
","

    299
    reviews
","From bestselling author Charlie Huston comes a novel about the fears that find us all during dark times and the courage and sacrifice that can save us in the face of unimaginable odds. Gripping, unnerving, exhilarating, and haunting, Sleepless is well worth staying up for.What former philosophy student Parker Hass wanted was a better world. A world both just and safe for his wife and infant daughter. So he joined the LAPD and tried to make it that way. But the world changed. Struck by waves of chaos carried in on a tide of insomnia. A plague of sleeplessness.Park can sleep, but he is wide awake. And as much as he wishes he was dreaming, his eyes are open. He has no choice but to see it all. That's his job. Working undercover as a drug dealer in a Los Angeles ruled in equal parts by martial law and insurgency, he's tasked with cutting off illegal trade in Dreamer, the only drug that can give the infected what they most crave: sleep.After a year of lost leads and false trails, Park stumbles into the perilous shadows cast by the pharmaceuticals giant behind Dreamer. Somewhere in those shadows, at the nexus of disease and drugs and money, a secret is hiding. Drawn into the inner circle of a tech guru with a warped agenda and a special use for the sleepless themselves, Park thinks he knows what that secret might be. To know for certain, he will have to go deeper into the restless world. His wife has become sleepless, and their daughter may soon share the same fate. For them, he will risk what they need most from him: his belief that justice must be served. Unknown to him, his choice ties all of their futures to the singularly deadly nature of an aging mercenary who stalks Park.The deeper Park stumbles through the dark, the more he is convinced that it is obscuring the real world. Bring enough light and the shadows will retreat. Bring enough light and everyone will see themselves again. Bring enough light and he will find his way to the safe corner, the harbor he's promised his family. Whatever the cost to himself.It is July 2010.The future is coming.Open your eyes.",0345501136,9780345501134),Hardcover,,368 pages,"
            Published
        January 12th 2010
         by Ballantine Books

            
              (first published 2010)
            
","['Fiction', 'Science Fiction', 'Mystery', 'Science Fiction', 'Dystopia', 'Thriller', 'Horror']"
40676609-the-meanderers,"
      The Meanderers
",Dhawal Trivedi,"
  4.79
","

  33
  ratings
","

    2
    reviews
","“Let your journey in life be the pilgrimage from fear to love”Winner of the 2018 EW Award for the ‘Best Novel’, ‘The Meanderers’ chronicles the story of a boy, Om Vats, from the age of five till twenty, broken down into three phases. First, when the boy is five - the age of innocence and wonder. Second, when the boy is fourteen - the age of puberty and the blooming of sexuality. Third, when the boy is twenty - the age of aspiration and ambition.When Om is five - he lives with his maternal grandmother more than his parents. He calls her ‘Naani’. His father, Mahesh has lost his job and his mother, Kiran, has never worked in her life. But, they all must jostle hard to get him admitted into a good private school to ensure his bright future before the new session begins. When Om turns fourteen, he befriends a boy called Rohit. Bullied by a group of boys at school, at the dawn of puberty and adolescence, Om must delve deeper to find out more about friendship, sex, and fear.At twenty, Om is about to graduate and aspires to be a ground-breaking software engineer. He experiences a soul-stirring love for the first time in his life which alters his outlook towards his aspirations. Will Om be able to accept love with all the dangers it comes with? Will Om be able to reconcile love with his material aspirations.‘The Meanders’ is an enquiry into ideas and emotions such as love, loss, sex, fear, courage, friendship and impermanence.“A truly wonderful story from one of the most insightful young authors right now. An original discourse on love, loss, sexuality and the things in between – The Meanderers will inspire you, move you, at times even offend you, but will stay with you” – Varun Prabhu",,,Kindle Edition,,,"
            Published
        July 20th 2018
         by Dhawal Trivedi

      ",[]
35214054-en-el-otro-lado-del-coraz-n-volumen-1,"
      En el otro lado del corazón, Volumen 1
",Andrea Adrich,"
  4.19
","

  280
  ratings
","

    12
    reviews
","EN EL OTRO LADO DEL CORAZÓN 1 y 2 es una historia que pertenece a la serie Hermanos Montenegro, junto con DONDE VUELAN LAS MARIPOSAS y MI SABOR PREFERIDO ERES TÚ. Son libros INDEPENDIENTES, que se pueden leer sin haber leído los otros.   *Raúl Montenegro es uno de los abogados más prestigiosos del país. Implacable. Intimidante. Racional. Un cabrón acostumbrado a destrozar a quién sea necesario en el tribunal. Un hombre para el que su carrera lo es todo. Un hombre que nunca ha perdido un caso.  *Alexia Durán es la chica contra la que Raúl tiene que enfrentarse en su próximo caso. Enemiga declarada de los Malasaña, una de las familias más importantes y poderosas de Madrid. Divertida. Leal. Terca. Dulce, pero con un carácter de armas tomar. Una pelirroja que no está dispuesta a dejarse amedrentar, ni siquiera por Raúl Montenegro.  Ambos se enfrentarán a la eterna dicotomía que sobrevuela por encima del amor: ¿Corazón o cabeza? ¿Sentimientos o razón? ¿Serán capaces de salir ilesos de la batalla? ",,,Kindle Edition,,322 pages,"
            Published
        May 22nd 2017
        

      ",[]
23120002-das-lied-des-blutes,"
      Das Lied des Blutes
",Anthony Ryan,"
  4.44
","

  64,553
  ratings
","

    3,674
    reviews
","Bei meinem Volk war er nur unter einem Namen bekannt, und dieser hallte an jenem Morgen unablässig in meinem Kopf wider: Hoffnungstöter. Bald wirst du sterben, und ich werde Zeuge sein, Hoffnungstöter.Vaelin Al Sorna, der berühmteste Gefangene des Reichs und sein größter Kämpfer, erzählt die atemberaubende Geschichte seines Lebens. Er ist auf einem Schiff unterwegs, das ihn zu dem Ort bringen soll, an dem es für ihn um Leben und Tod geht.Er besaß viele Namen. Noch nicht einmal dreißig Jahre alt, war er im Lauf der Geschichte bereits reich mit Titeln beschenkt worden: Schwert des Königs hieß er für den wahnsinnigen Herrscher, der ihn als Geißel zu uns sandte; Junger Falke für die Männer, die ihm in die Wirrnisse des Krieges folgten; Dunkelklinge für seine cumbraelischen Feinde und Rabenschatten für die geheimnisvollen Stämme des großen Nordwaldes.",3608939253,9783608939255),Hardcover,,775 pages,"
            Published
        September 23rd 2014
         by Klett-Cotta

            
              (first published 2011)
            
","['Fantasy', 'Fantasy', 'Epic Fantasy', 'Fiction', 'Fantasy', 'High Fantasy']"
39817625-love-connection,"
      Love Connection
",Camilla Isley,"
  3.92
","

  511
  ratings
","

    108
    reviews
","Have you ever wondered what might have been?Gemma Dawson is at the airport, staring at two plane tickets to two different cities. Two different weddings. Two possible futures. She’s at a crossroads.Be maid of honor at her best friend’s wedding or crash her ex’s?Gemma’s decision, unknown to her, hinges on a delayed flight and a chance meeting. Now her life is about to go down two parallel tracks—will Gemma fly toward a life with her first love or a future with a man she’s not even met yet? Love Connection is a feel good Romantic Comedy about one woman, life’s infinite possibilities, and the destiny that lies beyond two different choices.",8887269041,9788887269048),Paperback,,238 pages,"
            Published
        November 18th 2017
         by Pink Bloom Press

      ","['Womens Fiction', 'Chick Lit', 'Romance', 'Humor', 'Contemporary']"
