n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
13580618,"
      على سرير الشفاه
",محمد طمليه,"
  4.19
","

  47
  ratings
","

    15
    reviews
",بدعم من الديوان الملكي العامر، صدر عن دار أزمنة، ودار طمليه للدراسات والأبحاث، كتاب للكاتب الراحل محمد طمليه بعنوان: «على سرير الشفاه»، يتضمن مقالات كتبها طمليه أثناء صراعه مع مرض السرطان .واشتمل الكتاب على نصوص إبداعية ومقالات، من ضمنها: رجال ونساء، يحدث لي دون سائر الناس، الجرعة الأولى، أنا والسرطان وهواك عايشين لبعضينا، أمراض ترفع الرأس، وغيرها من المقالات.قدم للكتاب القاص مفلح العدوان، وجاء في مقدمته: « كأنه الآن، هو بنحول جسده، وبسخريته المحببة، كأنه الآن، هو بأسطره القليلة التي يخطها على ورق، فتوشك على الميلان قليلا عن مسارها فوق بياض الصفحة»، ويضيف العدوان: «وعبر بعض مقالاته، بنيته كتابة رواية عظيمة في بداية اكتشافه لمرضه، كأنه يستهزىء بالسرطان، ويريد استثماره على هواه، حيث يقول: (على أي حال، «أشهد أنني قد عشت»، و»ربّ ضارة نافعة»، و»السرطان» مجرد «سكرتير» مجتهد قمت بتعيينه في جسدي لتذكيري كل صباح بواجبي إزاء مشروعي الأدبي الذي يعرف كثيرون أنني أفكر فيه منذ أيام الجامعة: رواية تضعني في الصف الأول عالميا، واشعر أنني مؤهل لها: كلامي متطرف أيضا، وقد يعتبره كثيرون شكلا من «الهلوسات» التي تصدر عن مريض بائس يخضع للعلاج «الكيماوي »).,None,Combine,,الطبعة الاولى,173 pages,"
            Published
        March 2012
         by طمليه للدراسات والأبحاث ، دار أزمنة

      ","['Illness', 'Disease']"
11225502-expedition-to-the-mountains-of-the-moon,"
      Expedition to the Mountains of the Moon
",Mark Hodder,"
  3.78
","

  1,680
  ratings
","

    180
    reviews
","It is 1863, but not the one it should be. Time has veered wildly off course, and now the first moves are being made that will lead to a devastating world war and the fall of the British Empire. Caught in a tangled web of cause, effect, and inevitability, little does Burton realize that the stakes are far higher than even he suspects. A final confrontation comes in the mist-shrouded Mountains of the Moon, in war- torn Africa of 1914, and in Green Park, London, where, in the year 1840, Burton must face the man responsible for altering time: Spring Heeled Jack! Burton and Swinburne's third adventure is filled with eccentric steam-driven technology, grotesque characters, and bizarre events, completing the three-volume story arc begun in The Strange Affair of Spring Heeled Jack and The Curious Case of the Clockwork Man.",1616145358,9781616145354),Paperback,,399 pages,"
            Published
        January 24th 2012
         by Pyr

            
              (first published January 1st 2012)
            
","['Science Fiction', 'Steampunk', 'Science Fiction', 'Fantasy', 'Science Fiction', 'Alternate History', 'Fiction', 'Science Fiction', 'Time Travel']"
49195,"
      My Life
",Bill Clinton,"
  3.72
","

  41,199
  ratings
","

    1,124
    reviews
","An exhaustive, soul-searching memoir, Bill Clinton's My Life is a refreshingly candid look at the former president as a son, brother, teacher, father, husband, and public figure. Clinton painstakingly outlines the history behind his greatest successes and failures, including his dedication to educational and economic reform, his war against a ""vast right-wing operation"" determined to destroy him, and the ""morally indefensible"" acts for which he was nearly impeached. My Life is autobiography as therapy--a personal history written by a man trying to face and banish his private demons. Clinton approaches the story of his youth with gusto, sharing tales of giant watermelons, nine-pound tumors, a charging ram, famous mobsters and jazz musicians, and a BB gun standoff. He offers an equally energetic portrait of American history, pop culture, and the evolving political landscape, covering the historical events that shaped his early years (namely the deaths of Martin Luther King Jr. and JFK) and the events that shaped his presidency (Waco, Bosnia, Somalia). What makes My Life remarkable as a political memoir is how thoroughly it is infused with Clinton's unassuming, charmingly pithy voice: I learned a lot from the stories my uncle, aunts, and grandparents told me: that no one is perfect but most people are good; that people can't be judged only by their worst or weakest moments; that harsh judgments can make hypocrites of us all; that a lot of life is just showing up and hanging on; that laughter is often the best, and sometimes the only, response to pain. However, that same voice might tire readers as Clinton applies his penchant for minute details to a distractible laundry list of events, from his youth through the years of his presidency. Not wanting to forget a single detail that might help account for his actions, Clinton overdoes it--do we really need to know the name of his childhood barber? But when Clinton sticks to the meat of his story--recollections about Mother, his abusive stepfather, Hillary, the campaign trail, and Kenneth Starr--the veracity of emotion and Kitchen Confidential-type revelations about ""what it is like to be President"" make My Life impossible to put down. To Clinton, ""politics is a contact sport,"" and while he claims that My Life is not intended to make excuses or assign blame, it does portray him as a fighter whose strategy is to ""take the first hit, then counterpunch as hard as I could."" While My Life is primarily a stroll through Clinton's memories, it is also a scathing rebuke--a retaliation against his detractors, including Kenneth Starr, whose ""mindless search for scandal"" protected the guilty while ""persecuting the innocent"" and distracted his Administration from pressing international matters (including strikes on al Qaeda). Counterpunch indeed. At its core, My Life is a charming and intriguing if flawed book by an equally intriguing and flawed man who had his worst failures and humiliations made public. Ultimately, the man who left office in the shadow of scandal offers an honest and open account of his life, allowing readers to witness his struggle to ""drain the most out of every moment"" while maintaining the character with which he was raised. It is a remarkably intimate, persuasive look at the boy he was, the President he became, and man he is today. --Daphne Durham",140003003X,9781400030033),Paperback,,969 pages,"
            Published
        May 31st 2005
         by Vintage

            
              (first published 2004)
            
","['Biography', 'Nonfiction', 'Politics', 'History', 'Autobiography', 'Memoir', 'Biography', 'Autobiography']"
1188313,"
      Case Closed, Vol. 7
",Gosho Aoyama,"
  4.37
","

  2,108
  ratings
","

    38
    reviews
",,159116978X,9781591169789),Paperback,,184 pages,"
            Published
        September 8th 2005
         by VIZ Media LLC

            
              (first published November 18th 1995)
            
","['Sequential Art', 'Manga', 'Mystery', 'Sequential Art', 'Comics', 'Sequential Art', 'Komik', 'Mystery', 'Detective']"
2411725,"
      Ringmaster
",Julia Golding,"
  4.15
","

  451
  ratings
","

    28
    reviews
","From: High Commissioner, NairobiTo: Head of MI6 Special Operations, LondonClassification: Top SecretPriority: Flash telegramOperation Ringmaster seriously compromised. Agent Michael Lock missing in pursuit of suspect. Lock's daughter, Darcie, now in danger. Request her immediate evacuation from Kenya.REQUEST DENIED.Darcie’s sheltered expat life among the rich of Nairobi is about to change. Another side of Africa awaits – a world of international smuggling, espionage and corruption.And that’s where the madness begins...",1405230509,9781405230506),Paperback,,327 pages,"
            Published
        2007
         by Egmont

      ","['Mystery', 'Young Adult', 'Adventure', 'Spy Thriller', 'Espionage', 'Action']"
1243310,"
      A Ordem Natural das Coisas
",António Lobo Antunes,"
  4.08
","

  427
  ratings
","

    39
    reviews
",,Portuguese,Portuguese,Paperback,1.ª edição,332 pages,"
            Published
        1992
         by Publicações Dom Quixote

      ","['Cultural', 'Portugal', 'Fiction', 'European Literature', 'Portuguese Literature', 'Literature', 'Novels']"
386485,"
      Liberalism: The Classical Tradition
",Ludwig von Mises,"
  4.21
","

  960
  ratings
","

    64
    reviews
","The term ""liberalism"" comes from the Latin word liber meaning ""free."" Mises defines liberalism as ""the liberal doctrine of the harmony of the rightly understood interests of all members of a free society founded on the principle of private ownership of the means of production."" This book presents the theoretical and practical arguments for liberalism in the classical tradition.The foundation of liberalism, Mises says, rests on an understanding and appreciation of private property, social cooperation, the freedom idea, ethics and morality, democracy, and the legitimate role of government. Liberalism is not a political party; it is a system of social organization. The liberal program aims at securing equality under law and freedom of opportunity for everyone to make their own choices and decisions, so long as they do not interfere with the equal rights of others; it offers no special privileges to anyone. Under liberalism, the role of government would be limited to protecting the lives, property, and freedom of its citizens to pursue their own ends and goals. Mises is more specific here than elsewhere in applying the liberal program to economic policy, domestic and foreign. Also in this book, Mises contrasts liberalism with other conceivable systems of social organization such as socialism, communism, and fascism.Ludwig von Mises (1881–1973) was the leading spokesman of the Austrian School of Economics throughout most of the twentieth century. He earned his doctorate in law and economics from the University of Vienna in 1906. In 1926, Mises founded the Austrian Institute for Business Cycle Research. From 1909 to 1934, he was an economist for the Vienna Chamber of Commerce. Before the Anschluss, in 1934 Mises left for Geneva, where he was a professor at the Graduate Institute of International Studies until 1940, when he emigrated to New York City. From 1948 to 1969, he was a visiting professor at New York University.Bettina Bien Greaves is a former resident scholar, trustee, and longtime staff member of the Foundation for Economic Education. She has written and lectured extensively on topics of free market economics. Her articles have appeared in such journals as Human Events, Reason, and The Freeman: Ideas on Liberty. A student of Mises, Greaves has become an expert on his work in particular and that of the Austrian School of economics in general. She has translated several Mises monographs, compiled an annotated bibliography of his work, and edited collections of papers by Mises and other members of the Austrian School.",English,English,Paperback,,203 pages,"
            Published
        October 24th 2005
         by Liberty Fund Inc.

            
              (first published 1927)
            
","['Economics', 'Politics', 'Philosophy', 'Nonfiction']"
92104,"
      Rebecca's Tale
",Sally Beauman,"
  3.47
","

  2,737
  ratings
","

    362
    reviews
","April 1951. It has been twenty years since the death of Rebecca, the hauntingly beautiful first wife of Maxim de Winter, and twenty years since Manderley, the de Winter family's estate, was destroyed by fire. But Rebecca's tale is just beginning.Colonel Julyan, an old family friend, receives an anonymous package concerning Rebecca. An inquisitive young scholar named Terence Gray appears and stirs up the quiet seaside hamlet with questions about the past and the close ties he soon forges with the Colonel and his eligible daughter, Ellie. Amid bitter gossip and murky intrigue, the trio begins a search for the real Rebecca and the truth behind her mysterious death.",006117467X,9780061174674),Paperback,,464 pages,"
            Published
        January 30th 2007
         by William Morrow Paperbacks

            
              (first published 2000)
            
","['Fiction', 'Historical', 'Historical Fiction', 'Mystery', 'Gothic', 'Romance']"
3874108-the-man-game,"
      The Man Game
",Lee Henderson,"
  3.68
","

  100
  ratings
","

    16
    reviews
","On a recent Vancouver Sunday afternoon, a young man stumbles upon a secret sport invented more than a century before, at the birth of his city. Thus begins The Man Game, Lee Henderson’s epic tale of loved requited and not, that crosses the contemporary and historical in an extravagant, anarchistic retelling of the early days of a pioneer town on the edge of the known world. In 1886, out of the smouldering ashes of the great fire that destroyed much of the city,Molly Erwagen—former vaudeville performer—arrives from Toronto with her beloved husband, Samuel, to start a new life. Meanwhile, Litz and Pisk, two lumberjacks exiled after the fire, and blamed for having started it, are trying to clear their names. Before long, they’ve teamed up with Molly to invent a new sport that will change the course of that fledgling city’s history.",067091147X,9780670911479),Hardcover,,432 pages,"
            Published
        August 5th 2008
         by Viking

      ","['Fiction', 'Historical', 'Historical Fiction', 'Historical', 'Cultural', 'Canada']"
9810413-the-morganville-vampires-1-8,"
      The Morganville Vampires, #1-8
",Rachel Caine,"
  4.45
","

  746
  ratings
","

    24
    reviews
",,1101496983,9781101496985),ebook,,,"
            Published
        December 1st 2010
         by Signet Book

      ","['Paranormal', 'Vampires', 'Young Adult', 'Fiction']"
