n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
150739,"
      Dealing with Dragons
",Patricia C. Wrede,"
  4.15
","

  78,737
  ratings
","

    3,219
    reviews
",,015204566X,9780152045661),Paperback,,212 pages,"
            Published
        November 1st 2002
         by HMH Books for Young Readers

            
              (first published 1990)
            
","['Fantasy', 'Young Adult', 'Fantasy', 'Dragons', 'Fiction', 'Childrens', 'Childrens', 'Middle Grade']"
203818,"
      The New Oxford Annotated Bible: New Revised Standard Version
",Anonymous,"
  4.35
","

  3,208
  ratings
","

    215
    reviews
","Countless students, professors and general readers alike have relied upon The New Oxford Annotated Bible for essential scholarship and guidance to the world of the Bible. Now the Augmented Third Edition adds to the established reputation of this premier academic resource. A wealth of new maps, charts, and diagrams further clarify information found in the scripture pages. In addition, section introductions have been expanded and the book introductions have been made more uniform in order to enhance their utility. Of course, the Augmented Third Edition retains the features prized by students, including single column annotations at the foot of the pages, in-text background essays, charts, and maps, a page number-keyed index of all the study materials in the volume, and Oxford's renowned Bible maps. This timely edition maintains and extends the excellence the Annotated's users have come to expect, bringing still more insights, information, and approaches to bear upon the understanding of the biblical text.",0195288807,9780195288803),Hardcover,Augmented 3rd Edition,2432 pages,"
            Published
        February 2nd 2007
         by Oxford University Press, USA

            
              (first published 1920)
            
","['Religion', 'Reference', 'Religion', 'Christianity', 'Classics']"
25230946-mercy,"
      Mercy
",Lucian Bane,"
  3.95
","

  1,792
  ratings
","

    339
    reviews
","As a sadomasochist, Sade just wants to get and give pain in manageable and somewhat legal doses.All Mercy wants is to walk in her father's footsteps--a man who sacrificed everything to save her from a life of abuse and suffering.When Mercy finds an envelope on her doorstep leading her to Sade, the result is a collision of pain and mercy.For Sade, Mercy's kindness is dessert for his sadism, and her strength has his masochism hot and begging. Exploiting both for his own pleasure is his plan until he realizes that Mercy's got her own game. And playing it requires something he's never had.",English,English,Kindle Edition,,233 pages,"
            Published
        March 26th 2015
        

      ","['Dark', 'Adult Fiction', 'Erotica', 'Erotica', 'BDSM', 'Romance', 'Adult Fiction']"
6600807-jealousy,"
      Jealousy
",Lili St. Crow,"
  4.15
","

  22,599
  ratings
","

    714
    reviews
","Dru Anderson might finally be safe. She’s at the largest Schola on the continent, and beginning to learn what it means to be svetocha—half vampire, half human, and all deadly. If she survives her training, she will be able to take her place in the Order, holding back the vampires and protecting the oblivious normal people.But a web of lies and betrayals is still closing around her, just when she thinks she can relax a little. Her mentor Christophe is missing, her almost-boyfriend is acting weird, and the bodyguards she’s been assigned seem to know much more than they should. And then there’s the vampire attacks, the strange nightly visits, and the looks everyone keeps giving her. As if she should know something.Or as if she’s in danger.Someone high up in the Order is a traitor. They want Dru dead—but first, they want to know what she remembers of the night her mother died. Dru doesn’t want to remember, but it looks like she might have to—especially since once Christophe returns, he’ll be on trial for his life, and the only person who can save him is Dru.The problem is, once she remembers everything, she may not want to...",1595142908,9781595142900),Paperback,,316 pages,"
            Published
        July 29th 2010
         by Razorbill

            
              (first published July 28th 2010)
            
","['Young Adult', 'Paranormal', 'Vampires', 'Fantasy', 'Paranormal', 'Fantasy', 'Fantasy', 'Urban Fantasy']"
11041,"
      Delta of Venus
",Anaïs Nin,"
  3.63
","

  17,492
  ratings
","

    1,071
    reviews
","In Delta of Venus Anaïs Nin penned a lush, magical world where the characters of her imagination possess the most universal of desires and exceptional of talents. Among these provocative stories, a Hungarian adventurer seduces wealthy women then vanishes with their money; a veiled woman selects strangers from a chic restaurant for private trysts; and a Parisian hatmaker named Mathilde leaves her husband for the opium dens of Peru. Delta of Venus is an extraordinarily rich and exotic collection from the master of erotic writing.",1579125743,9781579125745),Hardcover,,271 pages,"
            Published
        May 1st 2006
         by Black Dog & Leventhal Publishers

            
              (first published 1969)
            
","['Fiction', 'Adult Fiction', 'Erotica', 'Short Stories', 'Classics']"
30512,"
      Paddy Clarke Ha Ha Ha
",Roddy Doyle,"
  3.76
","

  18,842
  ratings
","

    792
    reviews
",,2264022442,9782264022448),Mass Market Paperback,,307 pages,"
            Published
        June 4th 1998
         by Editions 10/18

            
              (first published 1993)
            
","['Fiction', 'Cultural', 'Ireland', 'European Literature', 'Irish Literature']"
40881903-unparalleled,"
      Unparalleled
",D.S. Smith,"
  4.37
","

  1,023
  ratings
","

    32
    reviews
","Waking up in a strange house, with no memory of how or why he is there, Stuart Milton finds his life has changed beyond recognition. His pregnant wife is missing, but his only living relative, his brother, is incapable of substantiating his claim. Lost in a world of confusion that is spiralling out of his control, Stuart finds temporary salvation in a psychiatrist assigned to his case. Meanwhile, peculiar events across the world lead a team of Oxford scientists to develop top secret technology that will change the future of humanity. Betrayed by double agents, the race to control this technology endangers the lives of all involved, which unwittingly includes Stuart and his psychiatrist. This enthralling journey takes Stuart to the edge of sanity, culminating in an unparalleled climax of kidnapping, betrayal and murder.",//<![CDATA[,Combine,Kindle Edition,Second,287 pages,"
            Published
        September 1st 2019
         by Amazon Media EU S.à r.l.

      ",[]
25051,"
      Mrs. Piggle-Wiggle
",Betty MacDonald,"
  4.16
","

  49,725
  ratings
","

    1,269
    reviews
","Everyone loves Mrs. Piggle-WiggleMrs. Piggle-Wiggle lives in an upside-down house and smells like cookies. She was even married to a pirate once. Most of all, she knows everything about children. She can cure them of any ailment. Patsy hates baths. Hubert never puts anything away. Allen eats v-e-r-y slowly. Mrs Piggle-Wiggle has a treatment for all of them.The incomparable Mrs. Piggle-Wiggle loves children good or bad and never scolds but has positive cures for Answer-Backers, Never-Want-to-Go-to-Bedders, and other boys and girls with strange habits. '[Now] in paperback . . . for a new generation of children to enjoy.' -- San Francisco Examiner Chronicle.",0064401480,9780064401487),Paperback,,128 pages,"
            Published
        August 14th 2007
         by HarperCollins

            
              (first published 1947)
            
","['Childrens', 'Fiction']"
3863861-just-the-sexiest-man-alive,"
      Just the Sexiest Man Alive
",Julie James,"
  3.93
","

  40,979
  ratings
","

    2,113
    reviews
","No woman could resist him—except the one he wanted most...Cool, Calm, Collected...Nothing fazes Taylor Donovan. In the courtroom she never lets the opposition see her sweat. In her personal life, she never lets any man rattle her—not even her cheating ex-fiancé. So when she's assigned to coach People's ""Sexiest Man Alive"" for his role in his next big legal thriller, she refuses to fall for the Hollywood heartthrob's charms. Even if he is the Jason Andrews.Confident, Famous, Irresistible...Jason Andrews is used to having women fall at his feet. When Taylor Donovan gives him the cold shoulder, he's thrown for a loop. She's unlike any other woman he's ever met: uninterested in the limelight, seemingly immune to his advances, and shockingly capable of saying no to him. She's the perfect challenge. And the more she rejects him, the more he begins to realize she may just be his perfect match.",0425224201,9780425224205),Mass Market Paperback,,296 pages,"
            Published
        October 1st 2008
         by Berkley Sensation

      ","['Romance', 'Romance', 'Contemporary Romance', 'Contemporary', 'Womens Fiction', 'Chick Lit', 'Adult', 'Humor', 'Funny']"
23594461-the-king-s-men,"
      The King's Men
",Nora Sakavic,"
  4.63
","

  18,028
  ratings
","

    2,578
    reviews
","Neil Josten is out of time. He knew when he came to PSU he wouldn't survive the year, but with his death right around the corner he's got more reasons than ever to live.Befriending the Foxes was inadvisable. Kissing one is unthinkable. Neil should know better than to get involved with anyone this close to the end, but Andrew's never been the easiest person to walk away from. If they both say it doesn't mean anything, maybe Neil won't regret losing it, but the one person Neil can't lie to is himself.He's got promises to keep and a team to get to championships if he can just outrun Riko a little longer, but Riko's not the only monster in Neil's life. The truth might get them all killed—or be Neil's one shot at getting out of this alive.",All,#3,ebook,,556 pages,"
            Published
        December 3rd 2014
        

            
              (first published December 2nd 2014)
            
","['LGBT', 'Contemporary', 'Young Adult', 'Sports and Games', 'Sports', 'Romance', 'M M Romance']"
