n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
673657,"
      Guardians of the West
",David Eddings,"
  4.09
","

  45,184
  ratings
","

    522
    reviews
","Garion has slain the evil God Torak and been crowned King of Riva. The Prophecy was fulfilled—or so it seemed. While the strange child Errand was growing up in the Vale of Aldur with Polgara and Durnik, showing only occasional flashes of inexplicable knowledge and power, Garion was learning to rule and to be the husband of his fiery little Queen Ce’Nedra. Eleven years passed.Then suddenly the Voice of Prophecy cried out a warning: “Beware Zandramas!” Not even Belgarath the Sorcerer knew who or what Zandramas was. But Garion discovered hints in a previously obscured part of the Mrin Codex. Worse, he learned that the Dark Prophecy was still waging its ancient struggle against the Prophecy of Light. Again, great evil was brewing in the East. And again, Garion found himself a pawn, caught between the two ancient Prophecies, with the fate of the world somehow resting on him.",0345352661,9780345352668),Mass Market Paperback,,438 pages,"
            Published
        March 1988
         by Del Rey Books

            
              (first published 1985)
            
","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy']"
400906,"
      The White Rose
",Glen Cook,"
  4.19
","

  15,250
  ratings
","

    391
    reviews
","She is the last hope of good in the war against the evil sorceress known as the Lady. From a secret base on the Plains of Fear, where even the Lady hesitates to go, the Black Company, once in service to the Lady, now fights to bring victory to the White Rose. But now an even greater evil threatens the world. All the great battles that have gone before will seem a skirmishes when the Dominator rises from the grave.",0812508440,9780812508444),Paperback,,317 pages,"
            Published
        April 15th 1985
         by Tor Fantasy

            
              (first published April 1985)
            
","['Fantasy', 'Fiction', 'Fantasy', 'Dark Fantasy', 'Fantasy', 'Epic Fantasy']"
536790,"
      Trumps of Doom
",Roger Zelazny,"
  4.06
","

  13,337
  ratings
","

    217
    reviews
","Alternate cover for ISBN 0380896354 / 9780380896356Merle Corey is a brilliant young computer designer in San Francisco, but, he is also Merlin, son of Corwin, vanished prince of Amber, and heir to his father's wonderous powers. And, someone is determined to kill him. Now he will begin a desperate race through Shadow, not only to escape the mysterious force that threatens his life, but to protect the deadly secret that could destroy both his worlds.",English,English,Paperback,,184 pages,"
            Published
        August 1995
         by Avon Books

            
              (first published May 1985)
            
","['Fantasy', 'Fiction', 'Science Fiction', 'Science Fiction Fantasy']"
1074398,"
      The Original Hitchhiker Radio Scripts
",Douglas Adams,"
  4.54
","

  1,562
  ratings
","

    58
    reviews
","The legendary BBC series did indeed push back the barriers of radio comedy, and in so doing so spawned records, books, a stage production, a TV series, a computer adventure game, even a towel, and attracted a deluge of letters from curious audiences throughout the world.To satisfy this curiosity, here are the twelve original radio scripts – Hitch-Hiker as it was originally written, and exactly as it was broadcast on Radio 4 for the very first time. They include amendments and additions made during recordings, bits which were reluctantly cut for reasons of time, and notes on the writing and producing of the series by Douglas Adams and Geoffrey Perkins.For those who have always longed to know why, who, how, when, where, and what its all about, these scripts are essential reading.",0517559501,9780517559505),Paperback,,248 pages,"
            Published
        December 1985
         by Harmony Books

            
              (first published October 1985)
            
","['Science Fiction', 'Humor', 'Fiction']"
16685,"
      The Cat Who Walks Through Walls
",Robert A. Heinlein,"
  3.70
","

  19,848
  ratings
","

    641
    reviews
",,0441094996,9780441094998),Paperback,,388 pages,"
            Published
        June 1st 1988
         by Ace Books

            
              (first published November 11th 1985)
            
","['Science Fiction', 'Fiction', 'Science Fiction Fantasy']"
15055,"
      Oranges Are Not the Only Fruit
",Jeanette Winterson,"
  3.74
","

  50,263
  ratings
","

    2,546
    reviews
","Alternate cover edition for 9780802135162This is the story of Jeanette, adopted and brought up by her mother as one of God's elect. Zealous and passionate, she seems seems destined for life as a missionary, but then she falls for one of her converts.At sixteen, Jeanette decides to leave the church, her home and her family, for the young woman she loves. Innovative, punchy and tender,Oranges Are Not the Only Fruit is a few days ride into the bizarre outposts of religious excess and human obsession.",English,English,Paperback,,176 pages,"
            Published
        August 20th 1997
         by Grove Press

            
              (first published 1985)
            
","['Fiction', 'LGBT', 'GLBT', 'Queer', 'Contemporary']"
415142,"
      Lie Down with Lions
",Ken Follett,"
  3.81
","

  14,197
  ratings
","

    588
    reviews
","Ellis, the American. Jean-Pierre, the Frenchman. They were two men on opposite sides of the cold war, with a woman torn between them. Together, they formed a triangle of passion and deception, racing from terrorist bombs in Paris to the violence and intrigue of Afghanistan - to the moment of truth and deadly decision for all of them…""A deadly romantic triangle, a clandestine mission with global stakes, an exotic location, a plot as gripping and ingenious as Eye of the Needle ... engineered to perfection with breathless acceleration. I couldn't put it down!"" - Los Angeles Times""Masterful... plot and counterplot, treachery, cunning and killing ... keep you on edge every moment"" - Associated Press",0451146425,9780451146427),Mass Market Paperback,,374 pages,"
            Published
        December 1st 1986
         by Signet

            
              (first published November 28th 1985)
            
","['Fiction', 'Thriller', 'Historical', 'Historical Fiction', 'Suspense', 'Mystery']"
951581,"
      Galápagos
",Kurt Vonnegut,"
  3.88
","

  61,744
  ratings
","

    2,561
    reviews
","Galápagos takes the reader back one million years, to A.D. 1986. A simple vacation cruise suddenly becomes an evolutionary journey. Thanks to an apocalypse, a small group of survivors stranded on the Galápagos Islands are about to become the progenitors of a brave, new, and totally different human race. In this inimitable novel, America’s master satirist looks at our world and shows us all that is sadly, madly awry–and all that is worth saving.",0385294166,9780385294164),Hardcover,1st,295 pages,"
            Published
        1985
         by Delacorte

      ","['Fiction', 'Science Fiction', 'Classics', 'Humor']"
891813,"
      Love Only Once
",Johanna Lindsey,"
  4.07
","

  16,464
  ratings
","

    633
    reviews
","The exquisite niece of Lord Edward and Lady Charlotte Malory, Regina Ashton is outraged over her abduction by the arrogant, devilishly handsome Nicholas Eden - and is determined to make the rogue pay with his heart. A golden-haired seducer, Nicholas has been hardened by a painful secret in his past. And now that he has besmirched Reggie's good name, the hot-tempered lady has vowed to wed him. Her fiery beauty stirs Nicholas as no woman ever has - and the rake arouses Reggie's passion to an unendurable level. Such uncontrolled desires can lead only to dangerous misunderstandings and, perhaps, to a love that can live only once in a lifetime.",0380899531,9780380899531),Paperback,,344 pages,"
            Published
        March 29th 2005
         by Avon Books

            
              (first published 1985)
            
","['Romance', 'Historical Romance', 'Romance', 'Historical', 'Historical', 'Regency', 'Historical', 'Historical Fiction']"
64865,"
      B is for Burglar
",Sue Grafton,"
  3.84
","

  43,095
  ratings
","

    1,677
    reviews
","Although business has been slow lately for P.I. Kinsey Millhone, she's reluctant to take on the case of locating Beverly Danziger's sister Elaine Boldt. It's a small matter that Beverly should be able to handle herself. So why is she enlisting Kinsey's services? Beverly claims she needs Elaine's signature on some documents so that she can collect a small inheritance. But the whole affair doesn't sit well with Kinsey. And if there's something she's learned in her line of work, it's to always follow your instincts…Kinsey's hunch proves true when she begins her inquiries into Elaine's whereabouts and discovers that the attractive widow was last seen in a flashy lynx coat boarding a plane for Boca Raton. But the more Kinsey searches for Elaine the more questions she encounters. Is Elaine's disappearance tied in to the brutal murder several months ago of one of her bridge partners? And what happened to Elaine's Persian cat who seems to have also vanished?Things take a turn for the worse when a stranger vandalizes the home of one of Elaine's neighbors and another neighbor turns up murdered. With her reputation and career on the line, Kinsey risks all to find a missing woman and a killer who's waiting in the shadows to strike again…",0312939000,9780312939007),Paperback,,310 pages,"
            Published
        November 29th 2005
         by St. Martin's Paperbacks

            
              (first published May 15th 1985)
            
","['Mystery', 'Fiction', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller']"
