n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
42701,"
      The Van
",Roddy Doyle,"
  3.94
","

  6,126
  ratings
","

    200
    reviews
",,0140260021,9780140260021),Paperback,,320 pages,"
            Published
        March 1st 1997
         by Penguin Books

            
              (first published 1991)
            
","['Fiction', 'European Literature', 'Irish Literature', 'Cultural', 'Ireland', 'Humor', 'Contemporary', 'Novels']"
1812454,"
      Host
",Peter James,"
  4.00
","

  497
  ratings
","

    40
    reviews
",,0752837451,9780752837451),Mass Market Paperback,,634 pages,"
            Published
        
        

            
              (first published 1993)
            
","['Horror', 'Fiction', 'Science Fiction', 'Thriller']"
25684046-le-notti-bianche---la-cronaca-di-pietroburgo,"
      Le notti bianche - La cronaca di Pietroburgo
",Fyodor Dostoyevsky,"
  4.01
","

  1,559
  ratings
","

    68
    reviews
","Un giovane sognatore, nella magia vagamente inquieta delle nordiche notti bianche, incontra una misteriosa fanciulla e vive la sua “educazione sentimentale”, segnata da un brusco risveglio con conseguente ritorno alla realtà. Un Dostoevskij lirico, ispirato, comincia a riflettere sulle disillusioni dell’esistenza e dell’amore nell’ultima opera pubblicata prima dell’arresto e della deportazione, esperienze che modificheranno in maniera radicale e definitiva la sua concezione dell’uomo e dell’arte. In questa edizione, al celebre racconto viene affiancata la visione “diurna” di Pietroburgo contenuta nei feuilletons che compongono la Cronaca di Pietroburgo, vero e proprio laboratorio per la scrittura dostoevskiana. Lo stretto legame tra pubblicistica e letteratura, che accompagnerà Dostoevskij negli anni della maturità, viene così a manifestarsi fin quasi dal suo esordio. Il racconto Le notti bianche ha ispirato il film omonimo di Luchino Visconti (1957), con Marcello Mastroianni e Maria Schell, e il film Quattro notti di un sognatore di Robert Bresson (1971).",8807901870,9788807901874),Paperback,Universale economica #0187,152 pages,"
            Published
        April 29th 2015
         by Feltrinelli

      ","['Classics', 'Literature', 'Russian Literature', 'Fiction']"
30956412-the-counterlife,"
      The Counterlife
",Philip Roth,"
  3.91
","

  3,847
  ratings
","

    276
    reviews
","The Counterlife is about people enacting their dreams of renewal and escape, some of them going so far as to risk their lives to alter seemingly irreversible destinies. Wherever they may find themselves, the characters of The Counterlife are tempted unceasingly by the prospect of an alternative existence that can reverse their fate.Illuminating these lives in transition and guiding us through the book's evocative landscapes, familiar and foreign, is the mind of the novelist Nathan Zuckerman. His is the skeptical, enveloping intelligence that calculates the price that's paid in the struggle to change personal fortune and reshape history, whether in a dentist's office in suburban New Jersey, a tradition-bound English Village in Gloucestershire, a church in London's West End, or a tiny desert settlement in Israel's occupied West Bank.",1504744012,9781504744010),Audio CD,,,"
            Published
        October 1st 2016
         by Blackstone Audiobooks

            
              (first published 1986)
            
","['Fiction', 'Novels', 'Literature', 'American', 'Literature']"
113348,"
      The Red Tent
",Anita Diamant,"
  4.17
","

  487,931
  ratings
","

    18,464
    reviews
","Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood--the world of the red tent. It begins with the story of her mothers--Leah, Rachel, Zilpah, and Bilhah--the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, The Red Tent combines rich storytelling with a valuable achievement in modern fiction: a new view of biblical women's society.",0312195516,9780312195519),Paperback,US / Canada,321 pages,"
            Published
        1997
         by Picador USA

      ","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Religion']"
13098469-inny-ch-opiec,"
      Inny chłopiec
",Willy Russell,"
  4.15
","

  1,367
  ratings
","

    121
    reviews
","Młody chłopak, Raymond Marks, pod presją rodziny ma podjąć pierwszą w życiu pracę, z dala od domu. Podczas pełnej nieprzewidzianych wypadków podróży pisze listy do swego ulubionego piosenkarza, Morrisseya, któremu opowiada, w jaki sposób stał się Innym Chłopcem.Wszystko się zaczęło, gdy miał jedenaście lat. został wtedy oskarżony przez dyrektora szkoły o wywieranie podstępnego i zgubnego wpływu na ""nieświadomych i niewinnych"" kolegów, a zabawy, którym rzekomo przewodził, określono jako ""karygodne praktyki o charakterze seksualnym, obejmujące ekshibicjonizm, zbiorową masturbację i sadobestializm"". Kolejne pechowe wydarzenia sprawiły, że do Raymonda na dobre przylgnęła opinia ""plugawego zboczeńca"", a wyklętym przez małomiasteczkową społeczność chłopcem zainteresowali się nawiedzeni psycholodzy, widzący w nim wyłącznie przypadek kliniczny.",8373115153,9788373115153),Hardcover,,463 pages,"
            Published
        2003
         by Świat Książki

            
              (first published January 1st 2000)
            
","['Fiction', 'Contemporary']"
33516774-big-little-lies,"
      Big Little Lies
",Liane Moriarty,"
  4.26
","

  624,656
  ratings
","

    41,788
    reviews
","From the author of Truly Madly Guilty and The Husband's Secret comes a novel about the dangerous little lies we tell ourselves just to survive.A murder...A tragic accident...Or just parents behaving badly? What s indisputable is that someone is dead. Madeline is a force to be reckoned with. She s funny, biting, and passionate; she remembers everything and forgives no one. Celeste is the kind of beautiful woman who makes the world stop and stare but she is paying a price for the illusion of perfection. New to town, single mom Jane is so young that another mother mistakes her for a nanny. She comes with a mysterious past and a sadness beyond her years. These three women are at different crossroads, but they will all wind up in the same shocking place. Big Little Lies is a brilliant take on ex-husbands and second wives, mothers and daughters, schoolyard scandal, and the little lies that can turn lethal.""",0399587209,9780399587207),Paperback,,498 pages,"
            Published
        February 9th 2017
         by Berkley Books

            
              (first published December 25th 2014)
            
","['Fiction', 'Mystery', 'Contemporary', 'Womens Fiction', 'Chick Lit']"
10891889-a-crimson-warning,"
      A Crimson Warning
",Tasha Alexander,"
  3.94
","

  4,848
  ratings
","

    375
    reviews
","Secrets prove deadly in this new novel from Tasha Alexander featuring Lady Emily Hargreaves. Some very prominent people in London are waking up to find their doorsteps smeared with red paint, the precursor to the revelation of a dark secret – and worse – by someone who enjoys destroying lives.Newly returned to her home in Mayfair, Lady Emily Hargreaves is looking forward to enjoying the delights of the season. The delights, that is, as defined by her own eccentricities—reading The Aeneid, waltzing with her dashing husband, and joining the Women’s Liberal Federation in the early stages of its campaign to win the vote for women.But an audacious vandal disturbs the peace in the capital city, splashing red paint on the neat edifices of the homes of London’s elite. This mark, impossible to hide, presages the revelation of scandalous secrets, driving the hapless victims into disgrace, despair and even death.Soon, all of London high society is living in fear of learning who will be the next target, and Lady Emily and her husband, Colin, favorite agent of the crown, must uncover the identity and reveal the motives of the twisted mind behind it all before another innocent life is lost.",0312661754,9780312661755),Hardcover,,324 pages,"
            Published
        October 25th 2011
         by Minotaur

      ","['Mystery', 'Historical', 'Historical Fiction', 'Mystery', 'Historical Mystery', 'Historical', 'Romance', 'Historical', 'Victorian']"
10951851-magicien,"
      Magicien : L'apprenti
",Raymond E. Feist,"
  4.17
","

  75,580
  ratings
","

    1,610
    reviews
","Un jeune orphelin vint un jour du royaume des Isles.Il devint l’apprenti du maître magicien de la cour de Crydee, sur les terres de Krondor. Son courage lui valut une place à la cour et le coeur d’une adorable princesse, mais l’approche traditionnelle de la magie ne le satisfaisait pas.C’était avant que n’éclate la Guerre de la Faille avec l’invasion d’un étrange peuple de guerriers surgi d’un empire lointain.Alors, celui qu’on appelait Pug dut faire face à son véritable destin. Le jour viendrait où il détiendrait le sort de deux mondes entre ses mains.",9782820502179,9782820502179,Paperback,,608 pages,"
            Published
        March 18th 2011
         by Milady

            
              (first published October 1st 1982)
            
","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy']"
36585457-the-christmas-fix,"
      The Christmas Fix
",Lucy Score,"
  4.46
","

  1,233
  ratings
","

    132
    reviews
","She’ll save Christmas just to spite him… When a late season hurricane hits Merry, Connecticut, city manager and single dad Noah Yates has to inform the already devastated residents that there won’t be a Christmas Festival this year. No festival means no tourism dollars. A disaster of epic proportions for his hometown. But when home renovation expert slash smoking hot reality TV star Catalina King shows up with a camera crew and a budget big enough to put the town back together again, Noah balks. Hard. The last time Cat was in town she stirred up trouble everywhere she went. (Residents are still talking about the town’s first and only bar fight.) Noah doesn’t need a TV diva capitalizing on his town’s tragedy or filling his daughter’s head with glitz and glam. Cat is ready and willing to put Merry back in Christmas mode with a holiday special that will leave everyone believing in miracles and get her friends back in the home they love. But there’s one big problem standing in her way. And his name is Noah Yates. He’s wrong about her and she can’t wait to prove it. Ring those jingle bells because it’s on.",//<![CDATA[,Combine,Paperback,,404 pages,"
            Published
        December 1st 2017
         by That's What She Said Publishing

      ","['Romance', 'Holiday', 'Christmas', 'Holiday', 'Romance', 'Contemporary Romance']"
