n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
2,"
      Harry Potter and the Order of the Phoenix
",J.K. Rowling,"
  4.49
","

  2,203,585
  ratings
","

    36,459
    reviews
","There is a door at the end of a silent corridor. And it’s haunting Harry Pottter’s dreams. Why else would he be waking in the middle of the night, screaming in terror?Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named---a threat that neither the magical government nor the authorities at Hogwarts can stop.As the grasp of darkness tightens, Harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.His fate depends on them all.",0439358078,9780439358071),Paperback,US Edition,870 pages,"
            Published
        September 1st 2004
         by Scholastic Inc.

            
              (first published June 21st 2003)
            
","['Fantasy', 'Young Adult', 'Fiction']"
2657,"
      To Kill a Mockingbird
",Harper Lee,"
  4.27
","

  4,027,914
  ratings
","

    83,787
    reviews
","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",,,Paperback,,324 pages,"
            Published
        May 23rd 2006
         by Harper Perennial Modern Classics

            
              (first published July 11th 1960)
            
","['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Academic', 'School']"
1885,"
      Pride and Prejudice
",Jane Austen,"
  4.25
","

  2,640,187
  ratings
","

    58,282
    reviews
","Alternate cover edition of ISBN 9780679783268Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.",,,Paperback,"Modern Library Classics, USA / CAN",279 pages,"
            Published
        October 10th 2000
         by Modern Library

            
              (first published January 28th 1813)
            
","['Classics', 'Fiction', 'Romance']"
n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
2,"
      Harry Potter and the Order of the Phoenix
",J.K. Rowling,"
  4.49
","

  2,203,585
  ratings
","

    36,459
    reviews
","There is a door at the end of a silent corridor. And it’s haunting Harry Pottter’s dreams. Why else would he be waking in the middle of the night, screaming in terror?Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named---a threat that neither the magical government nor the authorities at Hogwarts can stop.As the grasp of darkness tightens, Harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.His fate depends on them all.",0439358078,9780439358071),Paperback,US Edition,870 pages,"
            Published
        September 1st 2004
         by Scholastic Inc.

            
              (first published June 21st 2003)
            
","['Fantasy', 'Young Adult', 'Fiction']"
2657,"
      To Kill a Mockingbird
",Harper Lee,"
  4.27
","

  4,027,914
  ratings
","

    83,787
    reviews
","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",,,Paperback,,324 pages,"
            Published
        May 23rd 2006
         by Harper Perennial Modern Classics

            
              (first published July 11th 1960)
            
","['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Academic', 'School']"
1885,"
      Pride and Prejudice
",Jane Austen,"
  4.25
","

  2,640,187
  ratings
","

    58,282
    reviews
","Alternate cover edition of ISBN 9780679783268Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.",,,Paperback,"Modern Library Classics, USA / CAN",279 pages,"
            Published
        October 10th 2000
         by Modern Library

            
              (first published January 28th 1813)
            
","['Classics', 'Fiction', 'Romance']"
41865,"
      Twilight
",Stephenie Meyer,"
  3.59
","

  4,502,015
  ratings
","

    98,779
    reviews
","About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.In the first book of the Twilight Saga, internationally bestselling author Stephenie Meyer introduces Bella Swan and Edward Cullen, a pair of star-crossed lovers whose forbidden relationship ripens against the backdrop of small-town suspicion and a mysterious coven of vampires. This is a love story with bite.",0316015849,9780316015844),Paperback,,501 pages,"
            Published
        September 6th 2006
         by Little, Brown and Company

            
              (first published October 5th 2005)
            
","['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Vampires', 'Fiction', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fantasy', 'Supernatural', 'Young Adult', 'Teen', 'Fantasy', 'Urban Fantasy']"
19063,"
      The Book Thief
",Markus Zusak,"
  4.37
","

  1,618,449
  ratings
","

    105,793
    reviews
","It is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will be busier still.By her brother's graveside, Liesel's life is changed when she picks up a single object, partially hidden in the snow. It is The Gravedigger's Handbook, left behind there by accident, and it is her first act of book thievery. So begins a love affair with books and words, as Liesel, with the help of her accordian-playing foster father, learns to read. Soon she is stealing books from Nazi book-burnings, the mayor's wife's library, wherever there are books to be found.But these are dangerous times. When Liesel's foster family hides a Jew in their basement, Liesel's world is both opened up, and closed down.In superbly crafted writing that burns with intensity, award-winning author Markus Zusak has given us one of the most enduring stories of our time.",0375831002,9780375831003),Hardcover,First American Edition (US / CAN),552 pages,"
            Published
        March 14th 2006
         by Alfred A. Knopf

            
              (first published September 1st 2005)
            
","['Historical', 'Historical Fiction', 'Fiction', 'Young Adult']"
7613,"
      Animal Farm
",George Orwell,"
  3.92
","

  2,410,305
  ratings
","

    47,552
    reviews
","George Orwell's timeless and timely allegorical novel—a scathing satire on a downtrodden society’s blind march towards totalitarianism.“All animals are equal, but some animals are more equal than others.”A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned—a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible.  When Animal Farm was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell’s masterpiece have a meaning and message still ferociously fresh.",0452284244,9780452284241),Paperback,,122 pages,"
            Published
        May 6th 2003
         by NAL

            
              (first published August 17th 1945)
            
","['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Fantasy', 'Literature']"
