n,title,author,rating,num_ratings,num_reviews,descrip,isbn,isbn13,binding,edition,pages,published_on,genres
5297,"
      The Picture of Dorian Gray
",Oscar Wilde,"
  4.07
","

  840,272
  ratings
","

    25,411
    reviews
","﻿Written in his distinctively dazzling manner, Oscar Wilde’s story of a fashionable young man who sells his soul for eternal youth and beauty is the author’s most popular work. The tale of Dorian Gray’s moral disintegration caused a scandal when it ﬁrst appeared in 1890, but though Wilde was attacked for the novel’s corrupting inﬂuence, he responded that there is, in fact, “a terrible moral in Dorian Gray.” Just a few years later, the book and the aesthetic/moral dilemma it presented became issues in the trials occasioned by Wilde’s homosexual liaisons, which resulted in his imprisonment. Of Dorian Gray’s relationship to autobiography, Wilde noted in a letter, “Basil Hallward is what I think I am: Lord Henry what the world thinks me: Dorian what I would like to be—in other ages, perhaps.”",0375751513,9780375751516),Paperback,Modern Library Classics,272 pages,"
            Published
        June 1st 2004
         by Random House: Modern Library

            
              (first published June 20th 1890)
            
","['Classics', 'Fiction', 'Horror', 'Fantasy', 'Literature', 'Gothic', 'Novels', 'Literature', '19th Century', 'Classics', 'Classic Literature', 'Academic', 'School']"
968,"
      The Da Vinci Code
",Dan Brown,"
  3.83
","

  1,748,882
  ratings
","

    44,738
    reviews
","An ingenious code hidden in the works of Leonardo da Vinci.A desperate race through the cathedrals and castles of Europe.An astonishing truth concealed for centuries . . . unveiled at last.While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci—clues visible for all to see and yet ingeniously disguised by the painter.Even more startling, the late curator was involved in the Priory of Sion—a secret society whose members included Sir Isaac Newton, Victor Hugo, and Da Vinci—and he guarded a breathtaking historical secret. Unless Langdon and Neveu can decipher the labyrinthine puzzle—while avoiding the faceless adversary who shadows their every move—the explosive, ancient truth will be lost forever.",0307277674,9780307277671),Paperback,,489 pages,"
            Published
        March 28th 2006
         by Anchor

            
              (first published March 18th 2003)
            
","['Fiction', 'Mystery', 'Thriller', 'Suspense', 'Historical', 'Historical Fiction', 'Thriller', 'Mystery Thriller', 'Adventure', 'Novels', 'Mystery', 'Crime', 'Adult']"
28078,"
      The Birth of Venus
",Sarah Dunant,"
  3.81
","

  88,930
  ratings
","

    3,167
    reviews
","Alessandra Cecchi is not quite fifteen when her father, a prosperous cloth merchant, brings a young painter back from northern Europe to decorate the chapel walls in the family’s Florentine palazzo. A child of the Renaissance, with a precocious mind and a talent for drawing, Alessandra is intoxicated by the painter’s abilities.But their burgeoning relationship is interrupted when Alessandra’s parents arrange her marriage to a wealthy, much older man. Meanwhile, Florence is changing, increasingly subject to the growing suppression imposed by the fundamentalist monk Savonarola, who is seizing religious and political control. Alessandra and her native city are caught between the Medici state, with its love of luxury, learning, and dazzling art, and the hellfire preaching and increasing violence of Savonarola’s reactionary followers. Played out against this turbulent backdrop, Alessandra’s married life is a misery, except for the surprising freedom it allows her to pursue her powerful attraction to the young painter and his art. The Birth of Venus is a tour de force, the first historical novel from one of Britain’s most innovative writers of literary suspense. It brings alive the history of Florence at its most dramatic period, telling a compulsively absorbing story of love, art, religion, and power through the passionate voice of Alessandra, a heroine with the same vibrancy of spirit as her beloved city.",0812968972,9780812968972),Paperback,,427 pages,"
            Published
        November 30th 2004
         by Random House

            
              (first published March 6th 2003)
            
","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Cultural', 'Italy', 'Art']"
89788,"
      The Lady and the Unicorn
",Tracy Chevalier,"
  3.68
","

  39,033
  ratings
","

    1,850
    reviews
","A tour de force of history and imagination, The Lady and the Unicorn is Tracy Chevalier’s answer to the mystery behind one of the art world’s great masterpieces—a set of bewitching medieval tapestries that hangs today in the Cluny Museum in Paris. They appear to portray the seduction of a unicorn, but the story behind their making is unknown—until now.Paris, 1490.  A shrewd French nobleman commissions six lavish tapestries celebrating his rising status at Court. He hires the charismatic, arrogant, sublimely talented Nicolas des Innocents to design them. Nicolas creates havoc among the women in the house—mother and daughter, servant, and lady-in-waiting—before taking his designs north to the Brussels workshop where the tapestries are to be woven. There, master weaver Georges de la Chapelle risks everything he has to finish the tapestries—his finest, most intricate work—on time for his exacting French client. The results change all their lives—lives that have been captured in the tapestries, for those who know where to look.In The Lady and the Unicorn, Tracy Chevalier weaves fact and fiction into a beautiful, timeless, and intriguing literary tapestry—an extraordinary story exquisitely told.",0452285453,9780452285453),Paperback,,250 pages,"
            Published
        December 1st 2004
         by Penguin Books

            
              (first published 2003)
            
","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Art', 'Cultural', 'France']"
321577,"
      Girl in Hyacinth Blue
",Susan Vreeland,"
  3.73
","

  36,499
  ratings
","

    1,818
    reviews
","A professor invites a colleague from the art department to his home to view a painting he has kept secret for decades in Susan Vreeland's powerful historical novel, Girl in Hyacinth Blue. The professor swears it's a Vermeer -- but why exactly has he kept it hidden so long? The reasons unfold in a gripping sequence of stories that trace ownership of the work back to Amsterdam during World War II and still further to the moment of the painting's inception.",014029628X,9780140296280),Paperback,,242 pages,"
            Published
        October 1st 2000
         by Penguin Books

            
              (first published 1999)
            
","['Historical', 'Historical Fiction', 'Fiction', 'Art', 'Historical', 'Short Stories']"
321552,"
      The Agony and the Ecstasy
",Irving Stone,"
  4.07
","

  74,549
  ratings
","

    1,841
    reviews
","Celebrating the 500th anniversary of Michelangelo’s David, New American Library releases a special edition of Irving Stone’s classic biographical novel—in which both the artist and the man are brought to life in full. A masterpiece in its own right, this novel offers a compelling portrait of Michelangelo’s dangerous, impassioned loves, and the God-driven fury from which he wrested the greatest art the world has ever known.",0451171357,9780451171351),Mass Market Paperback,,776 pages,"
            Published
        1961
         by Signet

            
              (first published 1958)
            
","['Historical', 'Historical Fiction', 'Fiction', 'Art', 'Classics', 'Cultural', 'Italy']"
12873,"
      Rebecca
",Daphne du Maurier,"
  4.22
","

  398,313
  ratings
","

    19,903
    reviews
","Last night I dreamt I went to Manderley again...Working as a lady's companion, the heroine of Rebecca learns her place. Her future looks bleak until, on a trip to the South of France, she meets Max de Winter, a handsome widower whose sudden proposal of marriage takes her by surprise. She accepts, but whisked from glamorous Monte Carlo to the ominous and brooding Manderley, the new Mrs de Winter finds Max a changed man. And the memory of his dead wife Rebecca is forever kept alive by the forbidding housekeeper, Mrs Danvers...Not since Jane Eyre has a heroine faced such difficulty with the Other Woman. An international bestseller that has never gone out of print, Rebecca is the haunting story of a young girl consumed by love and the struggle to find her identity.",1844080382,9781844080380),Paperback,,441 pages,"
            Published
        December 1st 2007
         by Virago Press (UK)

            
              (first published August 1938)
            
","['Classics', 'Fiction', 'Mystery', 'Romance', 'Gothic']"
62212,"
      In the Company of the Courtesan
",Sarah Dunant,"
  3.78
","

  22,581
  ratings
","

    1,301
    reviews
","My lady, Fiammetta Bianchini, was plucking her eyebrows and biting color into her lips when the unthinkable happened and the Holy Roman Emperor's army blew a hole in the wall of God's eternal city, letting in a flood of half-starved, half-crazed troops bent on pillage and punishment.

Thus begins In the Company of the Courtesan, Sarah Dunant's epic novel of life in Renaissance Italy. Escaping the sack of Rome in 1527, with their stomachs churning on the jewels they have swallowed, the courtesan Fiammetta and her dwarf companion, Bucino, head for Venice, the shimmering city born out of water to become a miracle of east-west trade: rich and rancid, pious and profitable, beautiful and squalid.With a mix of courage and cunning they infiltrate Venetian society. Together they make the perfect partnership: the sharp-tongued, sharp-witted dwarf, and his vibrant mistress, trained from birth to charm, entertain, and satisfy men who have the money to support her.Yet as their fortunes rise, this perfect partnership comes under threat, from the searing passion of a lover who wants more than his allotted nights to the attentions of an admiring Turk in search of human novelties for his sultan's court. But Fiammetta and Bucino's greatest challenge comes from a young crippled woman, a blind healer who insinuates herself into their lives and hearts with devastating consequences for them all.A story of desire and deception, sin and religion, loyalty and friendship, In the Company of the Courtesan paints a portrait of one of the world's greatest cities at its most potent moment in history: It is a picture that remains vivid long after the final page.",0812974042,9780812974041),Paperback,,368 pages,"
            Published
        February 6th 2007
         by Random House Trade

            
              (first published 2006)
            
","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Cultural', 'Italy']"
98048,"
      The Passion of Artemisia
",Susan Vreeland,"
  3.88
","

  16,436
  ratings
","

    857
    reviews
","From extraordinary highs - patronage by the Medicis, friendship with Galileo and, most importantly of all, beautiful and outstandingly original paintings - to rape by her father's colleague, torture by the Inquisition, life-long struggles for acceptance by the artistic Establishment, and betrayal by the men she loved, Artemisia was a bold and brilliant woman who lived as she wanted, and paid a high price.",0142001821,9780142001820),Paperback,,315 pages,"
            Published
        January 2003
         by Penguin Books

            
              (first published November 8th 2001)
            
","['Historical', 'Historical Fiction', 'Fiction', 'Art', 'Cultural', 'Italy', 'Historical', 'Art', 'Art History']"
17333223-the-goldfinch,"
      The Goldfinch
",Donna Tartt,"
  3.91
","

  602,753
  ratings
","

    53,205
    reviews
","It begins with a boy. Theo Decker, a thirteen-year-old New Yorker, miraculously survives an accident that kills his mother. Abandoned by his father, Theo is taken in by the family of a wealthy friend. Bewildered by his strange new home on Park Avenue, disturbed by schoolmates who don't know how to talk to him, and tormented above all by his unbearable longing for his mother, he clings to one thing that reminds him of her: a small, mysteriously captivating painting that ultimately draws Theo into the underworld of art.As an adult, Theo moves silkily between the drawing rooms of the rich and the dusty labyrinth of an antiques store where he works. He is alienated and in love-and at the center of a narrowing, ever more dangerous circle.The Goldfinch combines vivid characters, mesmerizing language, and suspense, while plumbing with a philosopher's calm the deepest mysteries of love, identity, and art. It is an old-fashioned story of loss and obsession, survival and self-invention, and the ruthless machinations of fate.",0316055433,9780316055437),Hardcover,First American Edition,771 pages,"
            Published
        October 22nd 2013
         by Little, Brown

            
              (first published September 23rd 2013)
            
","['Fiction', 'Contemporary', 'Literary Fiction']"
