title,author,rating,num_ratings,num_reviews,descrip
"
      The Best American Political Writing 2004: Special Election Year Edition
",Royce Flippin,"
  4.18
","

  11
  ratings
","

    1
    review
","The Best American Political Writing 2004 preserves the most incisive, controversial, and entertaining writing about the notable events and people of 2003 and the first half of 2004. The past twelve months have provided no shortage of topics for heated political conversation. From Saddam's capture to Arnold's victory in the California recall election; from the controversy over Iraq's weapons of mass destruction to the contest for the Democratic presidential nomination, 2004 provided an excess of political fodder for commentary from all sides. Selections from the country's finest political writers, including Al Franken, Ron Suskind, Jonathan Chait, Jeffrey Toobin, George Will, Paul Krugman, George Packer, Charles Krauthammer, William Safire, Molly Ivins, Franklin Foer, Spencer Ackerman, Robert Kagan, Bill Kristol, and many others can be found in this volume. Gathering the best writings from the nation's leading publications, including the New York Times , Washington Post , The New Yorker , The Nation , Atlantic Monthly , New Republic , Weekly Standard , Foreign Affairs , Vanity Fair and Salon.com , as well as from think tanks such as the American Enterprise Institute and the Brookings Institution, Flippin culls the best writing on the year's most talked-about topics."
"
      Stephen Hawking's Universe
",John Boslough,"
  4.04
","

  674
  ratings
","

    31
    reviews
","Here is an intimate glimpse of the greatest scientist of our day, the brilliant physicist confined to a wheelchair whose A Brief History of Time has become the first worldwide scientific bestseller of the century. The story of Stephen Hawking's relentless quest for the secret of the origins of the universe will change forever the way you look at the stars . . . and your place among them."
"
      Beyond The Black Hole: Stephen Hawking's Universe
",John Boslough,"
  3.20
","

  10
  ratings
","

    0
    reviews
",
"
      Stephen Hawking's Life Works: The Cambridge Lectures
",Stephen Hawking,"
  4.38
","

  81
  ratings
","

    7
    reviews
",
"
      Stephen Hawking: Understanding the Universe
",Gail Sakurai,"
  3.80
","

  5
  ratings
","

    0
    reviews
",
"
      In Search of Schrödinger's Cat
",John Gribbin,"
  4.02
","

  16,755
  ratings
","

    416
    reviews
","Quantum theory is so shocking that Einstein could not bring himself to accept it. It is so important that it provides the fundamental underpinning of all modern sciences. Without it, we'd have no computers, no science of molecular biology, no understanding of DNA, no genetic engineering.In Search of Schrodinger's Cat tells the complete story of quantum mechanics, a truth stranger than any fiction. John Gribbin takes us step by step into an even more bizarre and fascinating place, requiring only that we approach it with an open mind. He introduces the scientists who developed quantum theory. He investigates the atom, radiation, time travel, the birth of the universe, super conductors and life itself. And in a world full of its own delights, mysteries and surprises, he searches for Schrodinger's Cat - a search for quantum reality - as he brings every reader to a clear understanding of the most important area of scientific study today - quantum physics.In Search of Schrodinger's Cat is a fascinating and delightful introduction to the strange world of the quantum - an essential element in understanding today's world."
"
      Schrödinger's Kittens and the Search for Reality: Solving the Quantum Mysteries
",John Gribbin,"
  4.05
","

  1,430
  ratings
","

    58
    reviews
","In this eagerly anticipated sequel to the classic bestseller In Search of Schrodinger's Cat, John Gribbin digs even deeper into the mysterious and confounding world of quantum mechanics. Gribbin takes infinitely complex, mind-bending experiments, brings them to life, and makes them accessible to the lay reader. Under his deft guidance, we can begin to grasp the fundamental riddle of today's quantum mechanics: how a single photon can be seen going in two directions at once. Along the way, Gribbin reveals some fascinating discoveries: how quantum particles could one day be used in a Star Trek-type teleportation system, and how quantum cryptographers have developed ways of making unbreakable codes using quantum effects.Schrodinger's Kittens and the Search for Reality illuminates the world's most intriguing and enigmatic scientific phenomenon - and shows how the ""impossible dreams"" of such legendary scientists as Bohr, Feynman, and Einstein may soon become reality."
"
      Detective Dog and the Search for Cat
",Sandi Hill,"
  3.50
","

  4
  ratings
","

    1
    review
",
"
      In Search Of Cats
",Howard Loxton,"
  0.00
","

  0
  ratings
","

    0
    reviews
",
"
      Reward, Lost Cat, The Search For Spock
",Donald Weiser,"
  0.00
","

  0
  ratings
","

    0
    reviews
",
"
      Beast of Never, Cat of God: The Search for the Eastern Puma
",Bob Butz,"
  3.22
","

  27
  ratings
","

    6
    reviews
",
"
      In Search of Schopenhauer's Cat: Arthur Schopenhauer's Quantum-Mystical Theory of Justice
",Raymond B. Marcin,"
  3.43
","

  7
  ratings
","

    0
    reviews
","Arthur Schopenhauer's theory of justice is radical. Justice, inSchopenhauer's system of thought, is not an epistemologicalconstruct. It is neither rights based nor process based. It rejects theconcept of individual moral duty as vehemently as it embraces theconcept of collective moral guilt. For Schopenhauer, justice is not away of assessing reality. It is a facet of reality itself. Schopenhauer'stheory of justice is ontology - a study of being itself. In this bookRaymond B. Marcin offers several reasons why a review and areevaluation of Schopenhauer's theory of justice are worthwhile now, almost two hundred years after it was first formulated"
"
      The Wonderful Journey Of Cameron Cat
",Marjorie Newman,"
  5.00
","

  1
  rating
","

    0
    reviews
",
"
      Witches, Ghosts, And Goblins: A Spooky Search For Miranda's Cat
",Ruthanna Long,"
  4.53
","

  34
  ratings
","

    9
    reviews
",
"
      Six Easy Pieces
",Walter Mosley,"
  4.07
","

  1,646
  ratings
","

    77
    reviews
","With the love of a good woman and two beautiful children, Easy Rawlins has put his past life of trading favors behind him. Following the loss of his best friend and sidekick, Mouse, he wants to set an example for his children by earning an honest living. But trouble has a way of finding Easy on the mean streets of Watts. Easy wanders from schoolhouse to whorehouse as he is drawn into investigating the torching of Sojourner Truth, the Junior High School where he works, then the turning over of a local garage and the death of a prostitute. But no man is an island... His job, his lover, his comfortable house and the children he cherishes all count for nothing when the phone rings and a woman asks if he knows where Mouse is. Easy soon discovers that Mouse is as much of a moral challenge dead as alive. Rich in character and place, the stories reveal the complex nature of the American experience ? the issues of class and race, hope and despair, light and darkness. Six Easy Pieces is confirmation that Mosley?s vision continues to stretch and redefine the American canon."
"
      Bahama Crisis
",Desmond Bagley,"
  3.62
","

  426
  ratings
","

    16
    reviews
","Tom Mangan is the affluent proprietor of a number of luxury hotels in the Bahamas, whose future looks even brighter with the injection of fifty million dollars provided by a well-heeled Texan family. The day Mangan clinches the deal with his friend, Bill Cunningham, should be the happiest day of his life, but when his wife and daughter go missing at sea and a series of disasters befall his hotels, he begins to uncover a conspiracy to ruin him."
