n,title,author,rating,num_ratings,num_reviews,descrip,binding,edition,pages,published_on,genres
100201,"
      Juneteenth Jamboree
",Carole Boston Weatherford,"
  3.85
","

  20
  ratings
","

    5
    reviews
",,Hardcover,,24 pages,"
            Published
        September 1st 1995
         by Lee & Low Books

            
              (first published 1995)
            
","['Childrens', 'Cultural', 'Childrens']"
100202,"
      Come Juneteenth
",Ann Rinaldi,"
  3.61
","

  618
  ratings
","

    79
    reviews
","Sis Goose is a beloved member of Luli's family, despite the fact that she was born a slave. But the family is harboring a terrible secret. And when Union soldiers arrive on their Texas plantation to announce that slaves have been declared free for nearly two years, Sis Goose is horrified to learn that the people she called family have lied to her for so long. She runs away--but her newly found freedom has tragic consequences. How could the state of Texas keep the news of the Emancipation Proclamation from reaching slaves? In this riveting Great Episodes historical drama, Ann Rinaldi sheds light on the events that led to the creation of Juneteenth, a celebration of freedom that continues today. 
Includes an author's note.
",Hardcover,,256 pages,"
            Published
        May 1st 2007
         by HMH Books for Young Readers

      ","['Historical', 'Young', 'Historical', 'Military', 'Fiction', 'Childrens']"
100203,"
      Juneteenth: A Day to Celebrate Freedom from Slavery
",Angela Leeper,"
  4.25
","

  4
  ratings
","

    0
    reviews
",,Hardcover,,48 pages,"
            Published
        July 1st 2004
         by Enslow Elementary

            
              (first published June 2004)
            
",[]
100204,"
      The Marrow of Tradition
",Charles W. Chesnutt,"
  3.89
","

  2,331
  ratings
","

    147
    reviews
","A landmark in the history of African-American fiction, this gripping 1901 novel was among the first literary challenges to racial stereotypes. Its tragic history of two families unfolds against the backdrop of the post-Reconstruction South and climaxes with a race riot based on an actual 1898 incident. The author relied upon eyewitness accounts of the riot to create an authentic setting and mood, and his sensitive artistry transcends a simple re-telling of the facts with a dramatic rendering of the conflict between racism and social justice. Unabridged republication of the classic 1901 edition.",Paperback,,213 pages,"
            Published
        December 19th 2003
         by Dover Publications

            
              (first published 1901)
            
","['Classics', 'Fiction', 'Historical', 'Academic', 'Cultural', 'Race', 'Literature', 'Literature', 'Academic', 'American']"
100205,"
      The Marrow of Tradition (Black Classics)
",Charles W. Chesnutt,"
  3.89
","

  2,332
  ratings
","

    147
    reviews
",,Paperback,,233 pages,"
            Published
        June 29th 2004
         by X Press

            
              (first published 1901)
            
","['Classics', 'Fiction', 'Historical', 'Academic', 'Cultural', 'Race', 'Literature', 'Literature', 'Academic', 'American']"
100206,"
      Bone Marrow Nei Kung: Taoist Techniques for Rejuvenating the Blood and Bone
",Mantak Chia,"
  4.06
","

  71
  ratings
","

    2
    reviews
","A guide to nourishing the body through bone marrow rejuvenation exercises • Presents exercises to “regrow” bone marrow, revive the internal organs, and prevent osteoporosis • Explains the use of bone breathing and bone compression, “hitting” to detoxify the body, and sexual energy massage and chi weight lifting to enhance the life force within Most Westerners believe that a daily physical exercise program helps slow the aging process. Yet those whose bodies appear most physically fit on the outside often enjoy only the same life span as the average nonathletic person. It is the internal organs and glands that nourish every function of the body, and it is the bone marrow that nourishes and rejuvenates the organs and glands through the production of blood. By focusing only on the muscles without cultivating the internal organs, bones, and blood, the Western fitness regimen can ultimately exhaust the internal system. In Bone Marrow Nei Kung Master Mantak Chia reveals the ancient mental and physical Taoist techniques used to “regrow” bone marrow, strengthen the bones, and rejuvenate the organs and glands. An advanced practice of Iron Shirt Chi Kung, Bone Marrow Nei Kung was developed as a way to attain the “steel body” coveted in the fields of Chinese medicine and martial arts. This method of absorbing energy into the bones revives the bone marrow and reverses the effects of aging through the techniques of bone breathing, bone compression, and sexual energy massage, which stimulates the hormonal production that helps prevent osteoporosis. Also included is extensive information on chi weight lifting and the practice of “hitting” to detoxify the body.",Paperback,,272 pages,"
            Published
        October 25th 2006
         by Destiny Books

            
              (first published December 15th 1989)
            
","['Combat', 'Spirituality']"
100207,"
      Bone Marrow Pathology
",Kathryn Foucar,"
  4.67
","

  3
  ratings
","

    0
    reviews
","Already a standard in the field, the new edition of Bone Marrow Pathology incorporates the latest WHO classification system to present an integrative approach that fosters superior interpretation. Illustrated with more than 800 color images integrated into the discussions, the text reviews basic epidemiologic, clinical and hematologic findings in disorders, as well as addressing smear and section interpretation. This practical tool includes tips, clues, and caveats in diagnosis.",Hardcover,,704 pages,"
            Published
        January 1st 2001
         by American Society of Clinical Pathologists Press

            
              (first published June 1995)
            
",[]
100201,"
      Juneteenth Jamboree
",Carole Boston Weatherford,"
  3.85
","

  20
  ratings
","

    5
    reviews
",,Hardcover,,24 pages,"
            Published
        September 1st 1995
         by Lee & Low Books

            
              (first published 1995)
            
","['Childrens', 'Cultural', 'Childrens']"
100202,"
      Come Juneteenth
",Ann Rinaldi,"
  3.61
","

  618
  ratings
","

    79
    reviews
","Sis Goose is a beloved member of Luli's family, despite the fact that she was born a slave. But the family is harboring a terrible secret. And when Union soldiers arrive on their Texas plantation to announce that slaves have been declared free for nearly two years, Sis Goose is horrified to learn that the people she called family have lied to her for so long. She runs away--but her newly found freedom has tragic consequences. How could the state of Texas keep the news of the Emancipation Proclamation from reaching slaves? In this riveting Great Episodes historical drama, Ann Rinaldi sheds light on the events that led to the creation of Juneteenth, a celebration of freedom that continues today. 
Includes an author's note.
",Hardcover,,256 pages,"
            Published
        May 1st 2007
         by HMH Books for Young Readers

      ","['Historical', 'Young', 'Historical', 'Military', 'Fiction', 'Childrens']"
100203,"
      Juneteenth: A Day to Celebrate Freedom from Slavery
",Angela Leeper,"
  4.25
","

  4
  ratings
","

    0
    reviews
",,Hardcover,,48 pages,"
            Published
        July 1st 2004
         by Enslow Elementary

            
              (first published June 2004)
            
",[]
